Instance,Opt_Veh,Opt_TD,CPLEX_Veh,CPLEX_TD,CPLEX_Time,ALNS_Veh,ALNS_TD,Gap_CPLEX_Pct,Gap_Opt_Pct,ALNS_Time
C101-5,2,257.75,2,257.75,0.31,2,257.75,0.00,0.00,0.03
C103-5,1,176.05,1,175.37,2.73,1,175.37,0.00,0.39,0.05
C206-5,1,242.55,1,242.56,5.38,1,242.56,0.00,0.00,0.07
C208-5,1,158.48,1,158.48,1.37,1,158.48,0.00,0.00,0.06
R104-5,2,136.69,2,136.69,0.47,2,136.69,0.00,0.00,0.04
R105-5,2,156.08,2,156.08,3.39,2,156.08,0.00,0.00,0.04
R202-5,1,128.78,1,128.78,0.95,1,128.78,0.00,0.00,0.08
R203-5,1,179.06,1,179.06,1.12,1,179.06,0.00,0.00,0.10
RC105-5,2,241.30,2,233.77,3.06,2,233.77,0.00,3.22,0.03
RC108-5,2,253.93,2,253.93,3.76,2,253.93,0.00,0.00,0.04
RC204-5,1,176.39,1,176.39,2.17,1,176.39,0.00,0.00,0.08
RC208-5,1,167.98,1,167.98,1.05,1,167.98,0.00,0.00,0.07
C101-10,3,393.76,3,388.25,50.26,3,388.25,0.00,1.42,0.10
C104-10,2,273.93,2,273.93,5.15,2,273.93,0.00,0.00,0.17
C202-10,1,304.06,1,304.06,7.52,1,304.06,0.00,0.00,0.20
C205-10,2,228.28,2,228.28,2.01,2,228.28,0.00,0.00,0.16
R102-10,3,249.19,3,249.19,1.83,3,249.19,0.00,0.00,0.11
R103-10,2,207.05,2,206.12,6.76,2,206.12,0.00,0.45,0.17
R201-10,1,241.51,1,241.51,11.40,1,241.51,0.00,0.00,0.21
R203-10,1,218.21,1,218.21,1.62,1,218.21,0.00,0.00,0.62
RC102-10,4,423.51,4,423.51,3.07,4,423.51,0.00,0.00,0.09
RC108-10,3,345.93,3,345.93,2.90,3,345.93,0.00,0.00,0.09
RC201-10,1,412.86,1,412.86,7200.00,1,412.86,0.00,0.00,0.17
RC205-10,2,325.98,2,325.98,3.26,2,325.98,0.00,0.00,0.19
C103-15,3,384.29,3,348.46,1008.00,3,348.46,0.00,10.28,0.23
C106-15,3,275.13,3,275.13,0.47,3,275.13,0.00,0.00,0.15
C202-15,2,383.62,2,383.62,24.07,2,383.62,0.00,0.00,0.29
C208-15,2,300.55,2,300.55,0.92,2,300.55,0.00,0.00,0.26
R102-15,5,413.93,5,412.78,7200.00,5,412.78,0.00,0.28,0.12
R105-15,4,336.15,4,336.15,1.39,4,336.15,0.00,0.00,0.09
R202-15,2,358.00,2,358.00,462.89,2,358.00,0.00,0.00,0.51
R209-15,1,313.24,1,313.24,610.64,1,313.24,0.00,0.00,0.92
RC103-15,4,397.67,4,397.67,20.27,4,397.67,0.00,0.00,0.12
RC108-15,3,370.25,3,370.25,101.45,3,370.25,0.00,0.00,0.15
RC202-15,2,394.39,2,394.39,113.43,2,394.39,0.00,0.00,0.31
RC204-15,1,407.45,1,403.38,7200.00,1,382.22,5.54,1.01,1.35
