Instance,BKS_Veh,BKS_TD,Ref,Our_Veh,Our_TD,Gap_Percent
c101,12,1053.83,SSG,12,1053.83,0.00
c102,11,1051.38,GS,11,1056.12,0.45
c103,10,1034.86,GS,11,1001.81,-
c104,10,961.88,GS,10,951.57,1.08
c105,11,1075.37,SSG,11,1075.37,0.00
c106,11,1057.65,HPH,11,1057.65,0.00
c107,11,1031.56,SSG,11,1031.56,0.00
c108,10,1095.66,GS,11,1015.68,-
c109,10,1033.67,GS,10,1069.16,3.32
c201,4,645.16,SSG,4,645.16,0.00
c202,4,645.16,SSG,4,645.16,0.00
c203,4,644.98,SSG,4,644.98,0.00
c204,4,636.43,SSG,4,636.43,0.00
c205,4,641.13,SSG,4,641.13,0.00
c206,4,638.17,SSG,4,638.17,0.00
c207,4,638.17,SSG,4,638.17,0.00
c208,4,638.17,SSG,4,638.17,0.00
r101,18,1663.04,HPH,18,1679.06,0.95
r102,16,1487.41,GS,16,1519.80,2.13
r103,13,1271.35,GS,13,1312.50,3.14
r104,11,1088.43,SSG,12,1071.89,-
r105,14,1442.35,GS,15,1383.29,-
r106,13,1324.10,GS,14,1276.15,-
r107,12,1150.95,GS,12,1148.43,0.22
r108,11,1050.04,SSG,11,1051.59,0.15
r109,12,1261.31,GS,13,1214.72,-
r110,11,1119.50,GS,12,1097.89,-
r111,12,1106.19,SSG,12,1109.14,0.27
r112,11,1016.63,GS,11,1038.74,2.13
r201,3,1264.82,SSG,3,1265.67,0.07
r202,3,1052.32,SSG,3,1052.32,0.00
r203,3,895.54,GS,3,895.54,0.00
r204,2,779.49,GS,2,780.98,0.19
r205,3,987.36,GS,3,987.36,0.00
r206,3,922.19,GS,3,922.70,0.06
r207,2,845.26,GS,2,847.14,0.22
r208,2,736.12,GS,2,736.12,0.00
r209,3,867.05,GS,3,871.22,0.48
r210,3,846.20,GS,3,843.65,0.30
r211,2,827.89,GS,3,761.56,-
rc101,16,1726.91,HPH,16,1731.07,0.24
rc102,14,1552.08,HPH,15,1551.69,-
rc103,13,1350.09,GS,13,1351.73,0.12
rc104,11,1227.25,GS,11,1232.45,0.42
rc105,14,1475.31,HPH,14,1473.24,0.14
rc106,13,1427.21,GS,14,1414.99,-
rc107,12,1274.89,SSG,12,1283.05,0.64
rc108,11,1197.83,GS,11,1209.11,0.93
rc201,4,1444.94,SSG,4,1446.84,0.13
rc202,3,1410.74,GS,3,1450.34,2.73
rc203,3,1055.19,GS,3,1069.27,1.32
rc204,3,884.80,GS,3,887.45,0.30
rc205,3,1273.55,GS,3,1277.60,0.32
rc206,3,1188.63,GS,3,1207.64,1.57
rc207,3,985.03,GS,3,994.48,0.95
rc208,3,836.29,GS,3,841.34,0.60

