eta_D,eta_H,d_cap,h_cap,best_Gini,n_feasible,Variant,Instance
0.0,0.0,388.2454,1162.8058,0.1195,8,FULL,c101C10
0.01,0.0,392.127854,1162.8058,0.1104,22,FULL,c101C10
0.03,0.0,399.892762,1162.8058,0.1078,25,FULL,c101C10
0.05,0.0,407.65767000000005,1162.8058,0.013,46,FULL,c101C10
0.1,0.0,427.06994000000003,1162.8058,0.0043,63,FULL,c101C10
0.0,0.05,388.2454,1220.9460900000001,0.1195,8,FULL,c101C10
0.01,0.05,392.127854,1220.9460900000001,0.1104,22,FULL,c101C10
0.03,0.05,399.892762,1220.9460900000001,0.1078,25,FULL,c101C10
0.05,0.05,407.65767000000005,1220.9460900000001,0.013,48,FULL,c101C10
0.1,0.05,427.06994000000003,1220.9460900000001,0.0043,65,FULL,c101C10
0.0,0.0,257.7475,872.0789,0.1065,10,FULL,c101C5
0.01,0.0,260.324975,872.0789,0.1065,10,FULL,c101C5
0.03,0.0,265.47992500000004,872.0789,0.0405,20,FULL,c101C5
0.05,0.0,270.634875,872.0789,0.0405,20,FULL,c101C5
0.1,0.0,283.52225000000004,872.0789,0.0361,21,FULL,c101C5
0.0,0.05,257.7475,915.682845,0.1065,10,FULL,c101C5
0.01,0.05,260.324975,915.682845,0.1065,10,FULL,c101C5
0.03,0.05,265.47992500000004,915.682845,0.0405,20,FULL,c101C5
0.05,0.05,270.634875,915.682845,0.0405,20,FULL,c101C5
0.1,0.05,283.52225000000004,915.682845,0.0361,21,FULL,c101C5
0.0,0.0,1043.4548,1174.5529,,0,FULL,c101_21
0.01,0.0,1053.889348,1174.5529,,0,FULL,c101_21
0.03,0.0,1074.758444,1174.5529,0.0448,21,FULL,c101_21
0.05,0.0,1095.62754,1174.5529,0.0306,40,FULL,c101_21
0.1,0.0,1147.8002800000002,1174.5529,0.0197,68,FULL,c101_21
0.0,0.05,1043.4548,1233.2805449999998,,0,FULL,c101_21
0.01,0.05,1053.889348,1233.2805449999998,0.0433,35,FULL,c101_21
0.03,0.05,1074.758444,1233.2805449999998,0.0395,113,FULL,c101_21
0.05,0.05,1095.62754,1233.2805449999998,0.0215,173,FULL,c101_21
0.1,0.05,1147.8002800000002,1233.2805449999998,0.0197,226,FULL,c101_21
0.0,0.0,1037.1225,1174.5529,,0,FULL,c102_21
0.01,0.0,1047.493725,1174.5529,,0,FULL,c102_21
0.03,0.0,1068.236175,1174.5529,,0,FULL,c102_21
0.05,0.0,1088.978625,1174.5529,0.022,7,FULL,c102_21
0.1,0.0,1140.83475,1174.5529,0.0151,50,FULL,c102_21
0.0,0.05,1037.1225,1233.2805449999998,,0,FULL,c102_21
0.01,0.05,1047.493725,1233.2805449999998,0.0682,5,FULL,c102_21
0.03,0.05,1068.236175,1233.2805449999998,0.0396,42,FULL,c102_21
0.05,0.05,1088.978625,1233.2805449999998,0.022,101,FULL,c102_21
0.1,0.05,1140.83475,1233.2805449999998,0.0143,194,FULL,c102_21
0.0,0.0,374.4278,1162.8058,,0,FULL,c103C15
0.01,0.0,378.172078,1162.8058,0.0776,4,FULL,c103C15
0.03,0.0,385.660634,1162.8058,0.0544,21,FULL,c103C15
0.05,0.0,393.14919000000003,1162.8058,0.0125,62,FULL,c103C15
0.1,0.0,411.87058,1162.8058,0.008,69,FULL,c103C15
0.0,0.05,374.4278,1220.9460900000001,0.0668,3,FULL,c103C15
0.01,0.05,378.172078,1220.9460900000001,0.0668,23,FULL,c103C15
0.03,0.05,385.660634,1220.9460900000001,0.0544,48,FULL,c103C15
0.05,0.05,393.14919000000003,1220.9460900000001,0.0014,95,FULL,c103C15
0.1,0.05,411.87058,1220.9460900000001,0.0014,104,FULL,c103C15
0.0,0.0,175.3692,1114.0,,0,FULL,c103C5
0.01,0.0,177.122892,1114.0,0.0,10,FULL,c103C5
0.03,0.0,180.630276,1114.0,0.0,10,FULL,c103C5
0.05,0.0,184.13766,1114.0,0.0,10,FULL,c103C5
0.1,0.0,192.90612000000002,1114.0,0.0,10,FULL,c103C5
0.0,0.05,175.3692,1169.7,,0,FULL,c103C5
0.01,0.05,177.122892,1169.7,0.0,10,FULL,c103C5
