Instance,Z1_common,D_ref,H_ref
c101C10,3.0,388.2454,1162.8058
c101C5,2.0,257.7475,872.0789
c101_21,12.0,1043.4548,1174.5529
c102_21,11.0,1037.1225,1174.5529
c103C15,3.0,374.4278,1162.8058
c103C5,1.0,175.3692,1114.0
c104C10,2.0,273.9312,832.7295
c104_21,10.0,895.6013,1165.1108
c105_21,11.0,1052.1882,1118.4191
c106C15,3.0,275.1332,1063.5529
c106_21,11.0,1015.8785,1105.8149
c107_21,11.0,1018.2819,1109.1108
c108_21,11.0,1003.3857,1067.3286
c109_21,10.0,956.403,1151.9732
c201_21,4.0,629.9494,3229.6619
c202C10,1.0,304.0583,3030.0
c202C15,2.0,397.2287,2939.1172
c202_21,4.0,629.9494,3229.6619
c203_21,4.0,629.9494,3229.6619
c204_21,4.0,629.9494,3229.6619
c205C10,2.0,228.2812,2739.5529
c205_21,4.0,629.9494,3069.6619
c206C5,1.0,242.5557,2200.0288
c206_21,4.0,629.9494,2909.1655
c207_21,4.0,629.9494,2906.1172
c208C15,2.0,300.5485,2839.8284
c208C5,1.0,158.4807,1920.4024
c208_21,4.0,629.9494,2839.8284
r101_21,19.0,1615.8395,221.0502
r102C10,4.0,262.9248,202.0
r102C15,5.0,412.7823,186.1505
r102_21,17.0,1441.851,219.8617
r103C10,2.0,206.1216,188.0
r103_21,14.0,1248.9006,219.8617
r104C5,2.0,136.6897,194.3848
r104_21,12.0,1070.0485,219.8617
r105C15,4.0,336.1536,199.541
r105C5,2.0,156.0821,199.3246
r105_21,15.0,1372.2938,215.3752
r106_21,14.0,1281.447,217.2476
r107_21,12.0,1124.3969,220.9651
r108_21,11.0,1050.6852,220.6741
r109_21,13.0,1211.5773,221.2367
r110_21,12.0,1103.2221,217.8927
r111_21,12.0,1117.4328,220.7518
r112_21,11.0,1015.6179,219.7454
r201C10,1.0,253.3431,653.4452
r201_21,4.0,1156.2035,922.3553
r202C15,2.0,358.0048,820.8617
r202C5,1.0,128.7771,428.8114
r202_21,3.0,1064.5402,943.7338
r203C10,1.0,218.2135,689.0644
r203C5,1.0,179.0559,533.9706
r203_21,3.0,899.4828,932.9142
r204_21,3.0,720.1026,901.4138
r205_21,3.0,995.3664,891.1031
r206_21,3.0,928.397,883.2598
r207_21,3.0,816.5645,839.0217
r208_21,2.0,737.5285,906.4261
r209C15,1.0,313.2366,815.2747
r209_21,3.0,874.9097,859.3889
r210_21,3.0,851.5517,917.3553
r211_21,3.0,767.256,761.1482
rc101_21,16.0,1699.4761,233.3809
rc102C10,4.0,423.5102,214.1655
rc102_21,15.0,1551.5393,230.4342
rc103C15,4.0,397.6699,209.2938
rc103_21,13.0,1359.4087,229.3275
rc104_21,12.0,1229.2248,226.2572
rc105C5,2.0,241.2964,181.0422
rc105_21,14.0,1463.6343,223.0789
rc106_21,14.0,1423.8041,226.1042
rc107_21,12.0,1267.2562,225.5817
rc108C10,3.0,345.9273,205.4908
rc108C15,3.0,378.3555,219.2006
rc108C5,2.0,253.9307,216.3119
rc108_21,11.0,1182.6983,228.5417
rc201C10,1.0,412.8614,806.0416
rc201_21,4.0,1447.6807,905.864
rc202C15,2.0,394.3871,839.2022
rc202_21,4.0,1243.3291,879.7107
rc203_21,3.0,1085.4009,885.698
rc204C15,1.0,382.2226,676.3649
rc204C5,1.0,176.394,758.0555
rc204_21,3.0,892.2999,839.4786
rc205C10,2.0,325.9774,656.2938
rc205_21,4.0,1177.1917,888.1664
rc206_21,4.0,1099.032,818.8112
rc207_21,3.0,996.624,828.7634
rc208C5,1.0,167.9835,406.0384
rc208_21,3.0,837.6624,744.7378
