Variant,Instance,Z1_common,SeedsHit,NumSeeds,SR
FULL,c101C10,3.0,10,10,1.0
FULL,c101C5,2.0,10,10,1.0
FULL,c101_21,12.0,10,10,1.0
FULL,c102_21,11.0,10,10,1.0
FULL,c103C15,3.0,10,10,1.0
FULL,c103C5,1.0,10,10,1.0
FULL,c104C10,2.0,10,10,1.0
FULL,c104_21,10.0,10,10,1.0
FULL,c105_21,11.0,10,10,1.0
FULL,c106C15,3.0,10,10,1.0
FULL,c106_21,11.0,10,10,1.0
FULL,c107_21,11.0,10,10,1.0
FULL,c108_21,11.0,10,10,1.0
FULL,c109_21,10.0,10,10,1.0
FULL,c201_21,4.0,10,10,1.0
FULL,c202C10,1.0,10,10,1.0
FULL,c202C15,2.0,10,10,1.0
FULL,c202_21,4.0,10,10,1.0
FULL,c203_21,4.0,10,10,1.0
FULL,c204_21,4.0,10,10,1.0
FULL,c205C10,2.0,10,10,1.0
FULL,c205_21,4.0,10,10,1.0
FULL,c206C5,1.0,10,10,1.0
FULL,c206_21,4.0,10,10,1.0
FULL,c207_21,4.0,10,10,1.0
FULL,c208C15,2.0,10,10,1.0
FULL,c208C5,1.0,10,10,1.0
FULL,c208_21,4.0,10,10,1.0
FULL,r101_21,19.0,6,10,0.6
FULL,r102C10,4.0,10,10,1.0
FULL,r102C15,5.0,10,10,1.0
FULL,r102_21,17.0,6,10,0.6
FULL,r103C10,2.0,10,10,1.0
FULL,r103_21,14.0,10,10,1.0
FULL,r104C5,2.0,10,10,1.0
FULL,r104_21,12.0,10,10,1.0
FULL,r105C15,4.0,10,10,1.0
FULL,r105C5,2.0,10,10,1.0
FULL,r105_21,15.0,9,10,0.9
FULL,r106_21,14.0,10,10,1.0
FULL,r107_21,12.0,10,10,1.0
FULL,r108_21,11.0,6,10,0.6
FULL,r109_21,13.0,10,10,1.0
FULL,r110_21,12.0,10,10,1.0
FULL,r111_21,12.0,10,10,1.0
FULL,r112_21,11.0,7,10,0.7
FULL,r201C10,1.0,10,10,1.0
FULL,r201_21,4.0,10,10,1.0
FULL,r202C15,2.0,10,10,1.0
FULL,r202C5,1.0,10,10,1.0
FULL,r202_21,3.0,10,10,1.0
FULL,r203C10,1.0,10,10,1.0
FULL,r203C5,1.0,10,10,1.0
FULL,r203_21,3.0,10,10,1.0
FULL,r204_21,3.0,10,10,1.0
FULL,r205_21,3.0,10,10,1.0
FULL,r206_21,3.0,10,10,1.0
FULL,r207_21,3.0,10,10,1.0
FULL,r208_21,2.0,10,10,1.0
FULL,r209C15,1.0,10,10,1.0
FULL,r209_21,3.0,10,10,1.0
FULL,r210_21,3.0,10,10,1.0
FULL,r211_21,3.0,10,10,1.0
FULL,rc101_21,16.0,7,10,0.7
FULL,rc102C10,4.0,10,10,1.0
FULL,rc102_21,15.0,10,10,1.0
FULL,rc103C15,4.0,10,10,1.0
FULL,rc103_21,13.0,9,10,0.9
FULL,rc104_21,12.0,8,10,0.8
FULL,rc105C5,2.0,10,10,1.0
FULL,rc105_21,14.0,7,10,0.7
FULL,rc106_21,14.0,8,10,0.8
FULL,rc107_21,12.0,10,10,1.0
FULL,rc108C10,3.0,10,10,1.0
FULL,rc108C15,3.0,10,10,1.0
FULL,rc108C5,2.0,10,10,1.0
FULL,rc108_21,11.0,8,10,0.8
FULL,rc201C10,1.0,10,10,1.0
FULL,rc201_21,4.0,10,10,1.0
FULL,rc202C15,2.0,10,10,1.0
FULL,rc202_21,4.0,10,10,1.0
FULL,rc203_21,3.0,10,10,1.0
FULL,rc204C15,1.0,10,10,1.0
FULL,rc204C5,1.0,10,10,1.0
FULL,rc204_21,3.0,10,10,1.0
FULL,rc205C10,2.0,10,10,1.0
FULL,rc205_21,4.0,10,10,1.0
FULL,rc206_21,4.0,6,10,0.6
FULL,rc207_21,3.0,10,10,1.0
FULL,rc208C5,1.0,10,10,1.0
FULL,rc208_21,3.0,10,10,1.0
No-EQ,c101C10,3.0,10,10,1.0
No-EQ,c101C5,2.0,10,10,1.0
No-EQ,c101_21,12.0,10,10,1.0
No-EQ,c102_21,11.0,10,10,1.0
No-EQ,c103C15,3.0,10,10,1.0
No-EQ,c103C5,1.0,10,10,1.0
No-EQ,c104C10,2.0,10,10,1.0
No-EQ,c104_21,10.0,10,10,1.0
No-EQ,c105_21,11.0,10,10,1.0
No-EQ,c106C15,3.0,10,10,1.0
No-EQ,c106_21,11.0,10,10,1.0
No-EQ,c107_21,11.0,10,10,1.0
No-EQ,c108_21,11.0,9,10,0.9
No-EQ,c109_21,10.0,10,10,1.0
No-EQ,c201_21,4.0,10,10,1.0
No-EQ,c202C10,1.0,10,10,1.0
No-EQ,c202C15,2.0,10,10,1.0
No-EQ,c202_21,4.0,10,10,1.0
No-EQ,c203_21,4.0,10,10,1.0
No-EQ,c204_21,4.0,10,10,1.0
No-EQ,c205C10,2.0,10,10,1.0
No-EQ,c205_21,4.0,10,10,1.0
No-EQ,c206C5,1.0,10,10,1.0
No-EQ,c206_21,4.0,10,10,1.0
No-EQ,c207_21,4.0,10,10,1.0
No-EQ,c208C15,2.0,10,10,1.0
No-EQ,c208C5,1.0,10,10,1.0
No-EQ,c208_21,4.0,10,10,1.0
No-EQ,r101_21,19.0,7,10,0.7
No-EQ,r102C10,4.0,10,10,1.0
No-EQ,r102C15,5.0,10,10,1.0
No-EQ,r102_21,17.0,5,10,0.5
No-EQ,r103C10,2.0,10,10,1.0
No-EQ,r103_21,14.0,10,10,1.0
No-EQ,r104C5,2.0,10,10,1.0
No-EQ,r104_21,12.0,9,10,0.9
No-EQ,r105C15,4.0,10,10,1.0
No-EQ,r105C5,2.0,10,10,1.0
No-EQ,r105_21,15.0,10,10,1.0
No-EQ,r106_21,14.0,10,10,1.0
No-EQ,r107_21,12.0,9,10,0.9
No-EQ,r108_21,11.0,9,10,0.9
No-EQ,r109_21,13.0,10,10,1.0
No-EQ,r110_21,12.0,10,10,1.0
No-EQ,r111_21,12.0,10,10,1.0
No-EQ,r112_21,11.0,8,10,0.8
No-EQ,r201C10,1.0,10,10,1.0
No-EQ,r201_21,4.0,10,10,1.0
No-EQ,r202C15,2.0,10,10,1.0
No-EQ,r202C5,1.0,10,10,1.0
No-EQ,r202_21,3.0,10,10,1.0
No-EQ,r203C10,1.0,10,10,1.0
No-EQ,r203C5,1.0,10,10,1.0
No-EQ,r203_21,3.0,10,10,1.0
No-EQ,r204_21,3.0,10,10,1.0
No-EQ,r205_21,3.0,10,10,1.0
No-EQ,r206_21,3.0,10,10,1.0
No-EQ,r207_21,3.0,10,10,1.0
No-EQ,r208_21,2.0,10,10,1.0
No-EQ,r209C15,1.0,10,10,1.0
No-EQ,r209_21,3.0,10,10,1.0
No-EQ,r210_21,3.0,10,10,1.0
No-EQ,r211_21,3.0,10,10,1.0
No-EQ,rc101_21,16.0,6,10,0.6
No-EQ,rc102C10,4.0,10,10,1.0
No-EQ,rc102_21,15.0,10,10,1.0
No-EQ,rc103C15,4.0,10,10,1.0
No-EQ,rc103_21,13.0,10,10,1.0
No-EQ,rc104_21,12.0,8,10,0.8
No-EQ,rc105C5,2.0,10,10,1.0
No-EQ,rc105_21,14.0,5,10,0.5
No-EQ,rc106_21,14.0,10,10,1.0
No-EQ,rc107_21,12.0,10,10,1.0
No-EQ,rc108C10,3.0,10,10,1.0
No-EQ,rc108C15,3.0,10,10,1.0
No-EQ,rc108C5,2.0,10,10,1.0
No-EQ,rc108_21,11.0,10,10,1.0
No-EQ,rc201C10,1.0,10,10,1.0
No-EQ,rc201_21,4.0,10,10,1.0
No-EQ,rc202C15,2.0,10,10,1.0
No-EQ,rc202_21,4.0,10,10,1.0
No-EQ,rc203_21,3.0,10,10,1.0
No-EQ,rc204C15,1.0,8,10,0.8
No-EQ,rc204C5,1.0,10,10,1.0
No-EQ,rc204_21,3.0,10,10,1.0
No-EQ,rc205C10,2.0,10,10,1.0
No-EQ,rc205_21,4.0,10,10,1.0
No-EQ,rc206_21,4.0,6,10,0.6
No-EQ,rc207_21,3.0,10,10,1.0
No-EQ,rc208C5,1.0,10,10,1.0
No-EQ,rc208_21,3.0,10,10,1.0
