Instance,Z1_common,NumSeeds_FULL,NumSeeds_NoEQ
c101C10,3.0,10,10
c101C5,2.0,10,10
c101_21,12.0,10,10
c102_21,11.0,10,10
c103C15,3.0,10,10
c103C5,1.0,10,10
c103_21,,10,10
c104C10,2.0,10,10
c104_21,10.0,10,10
c105_21,11.0,10,10
c106C15,3.0,10,10
c106_21,11.0,10,10
c107_21,11.0,10,10
c108_21,11.0,10,10
c109_21,10.0,10,10
c201_21,4.0,10,10
c202C10,1.0,10,10
c202C15,2.0,10,10
c202_21,4.0,10,10
c203_21,4.0,10,10
c204_21,4.0,10,10
c205C10,2.0,10,10
c205_21,4.0,10,10
c206C5,1.0,10,10
c206_21,4.0,10,10
c207_21,4.0,10,10
c208C15,2.0,10,10
c208C5,1.0,10,10
c208_21,4.0,10,10
r101_21,19.0,10,10
r102C10,4.0,10,10
r102C15,5.0,10,10
r102_21,17.0,10,10
r103C10,2.0,10,10
r103_21,14.0,10,10
r104C5,2.0,10,10
r104_21,12.0,10,10
r105C15,4.0,10,10
r105C5,2.0,10,10
r105_21,15.0,10,10
r106_21,14.0,10,10
r107_21,12.0,10,10
r108_21,11.0,10,10
r109_21,13.0,10,10
r110_21,12.0,10,10
r111_21,12.0,10,10
r112_21,11.0,10,10
r201C10,1.0,10,10
r201_21,4.0,10,10
r202C15,2.0,10,10
r202C5,1.0,10,10
r202_21,3.0,10,10
r203C10,1.0,10,10
r203C5,1.0,10,10
r203_21,3.0,10,10
r204_21,3.0,10,10
r205_21,3.0,10,10
r206_21,3.0,10,10
r207_21,3.0,10,10
r208_21,2.0,10,10
r209C15,1.0,10,10
r209_21,3.0,10,10
r210_21,3.0,10,10
r211_21,3.0,10,10
rc101_21,16.0,10,10
rc102C10,4.0,10,10
rc102_21,15.0,10,10
rc103C15,4.0,10,10
rc103_21,13.0,10,10
rc104_21,12.0,10,10
rc105C5,2.0,10,10
rc105_21,14.0,10,10
rc106_21,14.0,10,10
rc107_21,12.0,10,10
rc108C10,3.0,10,10
rc108C15,3.0,10,10
rc108C5,2.0,10,10
rc108_21,11.0,10,10
rc201C10,1.0,10,10
rc201_21,4.0,10,10
rc202C15,2.0,10,10
rc202_21,4.0,10,10
rc203_21,3.0,10,10
rc204C15,1.0,10,10
rc204C5,1.0,10,10
rc204_21,3.0,10,10
rc205C10,2.0,10,10
rc205_21,4.0,10,10
rc206_21,4.0,10,10
rc207_21,3.0,10,10
rc208C5,1.0,10,10
rc208_21,3.0,10,10
