Instance,Variant,HV2D,n_points
c101C10,FULL,0.77053725,64
c101C10,No-EQ,0.5352417,9
c101C5,FULL,0.8718349500000001,53
c101C5,No-EQ,0.0519057,6
c101_21,FULL,0.9658782,17
c101_21,No-EQ,0.452907,5
c102_21,FULL,0.8666091,19
c102_21,No-EQ,0.5997379500000001,11
c103C15,FULL,0.9785349000000001,19
c103C15,No-EQ,0.3397464,7
c103C5,FULL,1.1025,10
c103C5,No-EQ,1.1025,10
c104C10,FULL,0.3255021,20
c104C10,No-EQ,0.30806055,18
c104_21,FULL,0.7860384,19
c104_21,No-EQ,0.43568595,3
c105_21,FULL,0.86513175,12
c105_21,No-EQ,0.56414925,7
c106C15,FULL,0.70892955,98
c106C15,No-EQ,0.27948375000000003,10
c106_21,FULL,0.9125172,12
c106_21,No-EQ,0.7035273000000001,10
c107_21,FULL,0.98675955,17
c107_21,No-EQ,0.78023925,6
c108_21,FULL,0.7920360000000001,13
c108_21,No-EQ,0.58531725,3
c109_21,FULL,0.63563535,17
c109_21,No-EQ,0.3916521,9
c201_21,FULL,0.9380952,74
c201_21,No-EQ,0.34991145,24
c202C10,FULL,1.1025,10
c202C10,No-EQ,1.1025,9
c202C15,FULL,1.0003203,33
c202C15,No-EQ,0.0519057,2
c202_21,FULL,1.04404545,43
c202_21,No-EQ,0.51691815,24
c203_21,FULL,0.8180991000000001,43
c203_21,No-EQ,0.5343156,13
c204_21,FULL,0.8151444,22
c204_21,No-EQ,0.30980250000000004,11
c205C10,FULL,0.96735555,40
c205C10,No-EQ,0.0519057,3
c205_21,FULL,0.9280845,22
c205_21,No-EQ,0.41315085,8
c206C5,FULL,1.1025,10
c206C5,No-EQ,1.1025,10
c206_21,FULL,0.9835843500000001,18
c206_21,No-EQ,0.5620545,11
c207_21,FULL,1.0053036,21
c207_21,No-EQ,0.6514011000000001,17
c208C15,FULL,1.033704,26
c208C15,No-EQ,0.0519057,2
c208C5,FULL,1.1025,10
c208C5,No-EQ,1.1025,10
c208_21,FULL,0.9805194,25
c208_21,No-EQ,0.72771615,15
r101_21,FULL,0.8264340000000001,30
r101_21,No-EQ,0.482454,8
r102C10,FULL,0.5120451,42
r102C10,No-EQ,0.0519057,5
r102C15,FULL,0.84581595,32
r102C15,No-EQ,0.07056,5
r102_21,FULL,0.7647601500000001,35
r102_21,No-EQ,0.45685395000000006,3
r103C10,FULL,0.57208725,42
r103C10,No-EQ,0.0519057,5
r103_21,FULL,0.82231065,31
r103_21,No-EQ,0.44507925000000004,13
r104C5,FULL,0.2215143,30
r104C5,No-EQ,0.0519057,10
r104_21,FULL,0.77203665,30
r104_21,No-EQ,0.5667732,6
r105C15,FULL,0.91227465,51
r105C15,No-EQ,0.66994515,8
r105C5,FULL,1.0098018,46
r105C5,No-EQ,0.0519057,2
r105_21,FULL,0.7561386,16
r105_21,No-EQ,0.33727680000000004,5
r106_21,FULL,0.8577891,30
r106_21,No-EQ,0.6970005,8
r107_21,FULL,0.88938675,27
r107_21,No-EQ,0.74751705,14
r108_21,FULL,0.81150615,29
r108_21,No-EQ,0.7406595,11
r109_21,FULL,0.8555179500000001,27
r109_21,No-EQ,0.51802065,11
r110_21,FULL,0.8868289500000001,27
r110_21,No-EQ,0.56604555,9
r111_21,FULL,0.9024624,24
r111_21,No-EQ,0.6494607000000001,9
r112_21,FULL,0.8439858,20
r112_21,No-EQ,0.6803307,5
r201C10,FULL,1.1025,6
r201C10,No-EQ,1.1025,9
r201_21,FULL,0.9867375,11
r201_21,No-EQ,0.5509413,3
r202C15,FULL,0.9795492000000001,43
r202C15,No-EQ,0.0519057,1
r202C5,FULL,1.1025,10
r202C5,No-EQ,1.1025,10
r202_21,FULL,1.02217185,12
r202_21,No-EQ,0.92916495,5
r203C10,FULL,1.1025,10
r203C10,No-EQ,1.1025,10
r203C5,FULL,1.1025,10
r203C5,No-EQ,1.1025,10
r203_21,FULL,1.0770102,6
r203_21,No-EQ,0.7824663000000001,10
r204_21,FULL,0.65389275,4
