Instance,Variant,HV3D
c101C10,FULL,0.8109394650000001
c101C10,No-EQ,0.5594338575000001
c101C5,FULL,0.9179271675
c101C5,No-EQ,0.0537138
c101_21,FULL,1.0098657450000001
c101_21,No-EQ,0.46798148250000005
c102_21,FULL,0.9061193925000001
c102_21,No-EQ,0.66169845
c103C15,FULL,0.9795822750000001
c103C15,No-EQ,0.5289883200000001
c103C5,FULL,0.10870098750000001
c103C5,No-EQ,0.10870098750000001
c104C10,FULL,0.8607867975000001
c104C10,No-EQ,0.8541651825000001
c104_21,FULL,0.9283920975000002
c104_21,No-EQ,0.6903612450000001
c105_21,FULL,0.890676675
c105_21,No-EQ,0.7096935825000001
c106C15,FULL,0.6862632525000001
c106C15,No-EQ,0.2847989025
c106_21,FULL,0.9491830425000001
c106_21,No-EQ,0.8211960225000001
c107_21,FULL,0.9757158075000002
c107_21,No-EQ,0.6618373650000001
c108_21,FULL,0.8901210150000002
c108_21,No-EQ,0.7395603075
c109_21,FULL,0.7080266025000002
c109_21,No-EQ,0.5442921225
c201_21,FULL,0.9684227700000001
c201_21,No-EQ,0.35823863250000004
c202C10,FULL,1.1576250000000001
c202C10,No-EQ,1.1576250000000001
c202C15,FULL,1.0515865500000001
c202C15,No-EQ,0.0537138
c202_21,FULL,1.0896261075
c202_21,No-EQ,0.5354710200000001
c203_21,FULL,0.8478213975000001
c203_21,No-EQ,0.5513767875000001
c204_21,FULL,0.82709991
c204_21,No-EQ,0.30927109500000005
c205C10,FULL,1.0205853525000002
c205C10,No-EQ,0.0537138
c205_21,FULL,0.9317029050000001
c205_21,No-EQ,0.587378925
c206C5,FULL,0.7083970425000001
c206C5,No-EQ,0.7083970425000001
c206_21,FULL,1.011717945
c206_21,No-EQ,0.8019099900000001
c207_21,FULL,1.03204584
c207_21,No-EQ,0.8285122125000001
c208C15,FULL,0.9162601875
c208C15,No-EQ,0.3746306025000001
c208C5,FULL,0.10870098750000001
c208C5,No-EQ,0.10870098750000001
c208_21,FULL,1.0366994925000002
c208_21,No-EQ,0.9289940625
r101_21,FULL,0.665263935
r101_21,No-EQ,0.3241581525
r102C10,FULL,0.5393606400000001
r102C10,No-EQ,0.0537138
