SolutionID,VehicleID,NumCustomers,NumStations,TravelTime,ServiceTime,ChargeTime,WaitTime,ActiveWorkload_A,TotalTime_H,Variant,Instance,Seed
1,0,3,3,1044.19,0.0,0.0,0.0,1044.19,1044.19,FULL,c101C10,1
1,0,4,2,1162.81,0.0,0.0,0.0,1162.81,1162.81,FULL,c101C10,1
1,2,3,2,1119.16,0.0,0.0,0.0,1119.16,1119.16,FULL,c101C10,1
2,2,3,2,1119.16,0.0,0.0,0.0,1119.16,1119.16,FULL,c101C10,1
2,0,4,2,1162.81,0.0,0.0,0.0,1162.81,1162.81,FULL,c101C10,1
2,2,3,2,1044.19,0.0,0.0,0.0,1044.19,1044.19,FULL,c101C10,1
3,0,4,1,1043.35,0.0,0.0,0.0,1043.35,1043.35,FULL,c101C10,1
3,2,3,3,1142.92,0.0,0.0,0.0,1142.92,1142.92,FULL,c101C10,1
3,0,3,1,1162.81,0.0,0.0,0.0,1162.81,1162.81,FULL,c101C10,1
4,2,3,3,1142.92,0.0,0.0,0.0,1142.92,1142.92,FULL,c101C10,1
4,0,3,2,1162.81,0.0,0.0,0.0,1162.81,1162.81,FULL,c101C10,1
4,2,4,3,1053.01,0.0,0.0,0.0,1053.01,1053.01,FULL,c101C10,1
5,0,3,2,1119.16,0.0,0.0,0.0,1119.16,1119.16,FULL,c101C10,1
5,2,3,3,1044.19,0.0,0.0,0.0,1044.19,1044.19,FULL,c101C10,1
5,0,4,1,1162.81,0.0,0.0,0.0,1162.81,1162.81,FULL,c101C10,1
6,0,4,1,1051.66,0.0,0.0,0.0,1051.66,1051.66,FULL,c101C10,1
6,2,3,3,1142.92,0.0,0.0,0.0,1142.92,1142.92,FULL,c101C10,1
6,0,3,2,1162.81,0.0,0.0,0.0,1162.81,1162.81,FULL,c101C10,1
1,0,2,2,872.08,0.0,0.0,0.0,872.08,872.08,FULL,c101C5,1
1,1,3,3,856.96,0.0,0.0,0.0,856.96,856.96,FULL,c101C5,1
2,1,3,3,856.96,0.0,0.0,0.0,856.96,856.96,FULL,c101C5,1
2,1,2,1,872.08,0.0,0.0,0.0,872.08,872.08,FULL,c101C5,1
3,1,3,4,856.96,0.0,0.0,0.0,856.96,856.96,FULL,c101C5,1
3,1,2,3,872.08,0.0,0.0,0.0,872.08,872.08,FULL,c101C5,1
4,1,2,3,1015.24,0.0,0.0,0.0,1015.24,1015.24,FULL,c101C5,1
4,1,3,2,856.96,0.0,0.0,0.0,856.96,856.96,FULL,c101C5,1
5,0,2,3,872.08,0.0,0.0,0.0,872.08,872.08,FULL,c101C5,1
5,1,3,2,856.96,0.0,0.0,0.0,856.96,856.96,FULL,c101C5,1
6,0,2,6,872.08,0.0,0.0,0.0,872.08,872.08,FULL,c101C5,1
6,1,3,2,856.96,0.0,0.0,0.0,856.96,856.96,FULL,c101C5,1
7,1,2,3,872.08,0.0,0.0,0.0,872.08,872.08,FULL,c101C5,1
7,0,3,2,856.73,0.0,0.0,0.0,856.73,856.73,FULL,c101C5,1
8,1,2,4,872.08,0.0,0.0,0.0,872.08,872.08,FULL,c101C5,1
8,1,3,3,856.73,0.0,0.0,0.0,856.73,856.73,FULL,c101C5,1
9,1,2,3,872.08,0.0,0.0,0.0,872.08,872.08,FULL,c101C5,1
9,1,3,4,856.73,0.0,0.0,0.0,856.73,856.73,FULL,c101C5,1
10,1,3,2,856.96,0.0,0.0,0.0,856.96,856.96,FULL,c101C5,1
10,1,2,3,1015.24,0.0,0.0,0.0,1015.24,1015.24,FULL,c101C5,1
1,10,7,1,1065.97,0.0,0.0,0.0,1065.97,1065.97,FULL,c101_21,7
1,11,8,2,1186.56,0.0,0.0,0.0,1186.56,1186.56,FULL,c101_21,7
1,11,9,0,900.62,0.0,0.0,0.0,900.62,900.62,FULL,c101_21,7
1,11,8,1,1153.21,0.0,0.0,0.0,1153.21,1153.21,FULL,c101_21,7
1,10,10,0,1135.79,0.0,0.0,0.0,1135.79,1135.79,FULL,c101_21,7
1,11,9,1,1125.81,0.0,0.0,0.0,1125.81,1125.81,FULL,c101_21,7
1,8,6,1,1109.36,0.0,0.0,0.0,1109.36,1109.36,FULL,c101_21,7
1,11,10,1,1059.74,0.0,0.0,0.0,1059.74,1059.74,FULL,c101_21,7
1,12,8,2,1035.29,0.0,0.0,0.0,1035.29,1035.29,FULL,c101_21,7
1,10,8,1,1162.81,0.0,0.0,0.0,1162.81,1162.81,FULL,c101_21,7
1,11,11,0,1165.27,0.0,0.0,0.0,1165.27,1165.27,FULL,c101_21,7
1,0,6,0,1174.55,0.0,0.0,0.0,1174.55,1174.55,FULL,c101_21,7
2,24,8,1,1125.81,0.0,0.0,0.0,1125.81,1125.81,FULL,c101_21,7
2,31,8,1,1162.81,0.0,0.0,0.0,1162.81,1162.81,FULL,c101_21,7
2,10,8,2,1186.56,0.0,0.0,0.0,1186.56,1186.56,FULL,c101_21,7
2,0,10,0,1135.79,0.0,0.0,0.0,1135.79,1135.79,FULL,c101_21,7
2,11,9,0,981.65,0.0,0.0,0.0,981.65,981.65,FULL,c101_21,7
2,0,8,1,1199.38,0.0,0.0,0.0,1199.38,1199.38,FULL,c101_21,7
2,12,9,1,1153.21,0.0,0.0,0.0,1153.21,1153.21,FULL,c101_21,7
2,0,8,0,1165.11,0.0,0.0,0.0,1165.11,1165.11,FULL,c101_21,7
2,0,6,2,1035.29,0.0,0.0,0.0,1035.29,1035.29,FULL,c101_21,7
2,0,9,0,900.62,0.0,0.0,0.0,900.62,900.62,FULL,c101_21,7
2,0,8,2,1026.44,0.0,0.0,0.0,1026.44,1026.44,FULL,c101_21,7
2,0,9,1,1062.13,0.0,0.0,0.0,1062.13,1062.13,FULL,c101_21,7
3,24,8,1,1125.81,0.0,0.0,0.0,1125.81,1125.81,FULL,c101_21,7
3,31,8,1,1162.81,0.0,0.0,0.0,1162.81,1162.81,FULL,c101_21,7
3,10,8,2,1186.56,0.0,0.0,0.0,1186.56,1186.56,FULL,c101_21,7
3,0,10,0,1135.79,0.0,0.0,0.0,1135.79,1135.79,FULL,c101_21,7
3,11,9,0,981.65,0.0,0.0,0.0,981.65,981.65,FULL,c101_21,7
3,0,8,1,1199.38,0.0,0.0,0.0,1199.38,1199.38,FULL,c101_21,7
3,12,9,1,1153.21,0.0,0.0,0.0,1153.21,1153.21,FULL,c101_21,7
3,0,8,0,1165.11,0.0,0.0,0.0,1165.11,1165.11,FULL,c101_21,7
