SolutionID,Z1,Z2,Z3,Z4,IsFeasible,Variant,Instance,Seed
c101_21_s1_0,12,1060.8056,0.0504,1204.876,True,FULL,c101_21,1
c101_21_s1_1,12,1056.1877,0.0547,1204.876,True,FULL,c101_21,1
c101_21_s1_2,12,1064.2467,0.0491,1204.876,True,FULL,c101_21,1
c101_21_s1_3,12,1065.4846,0.0533,1204.3369,True,FULL,c101_21,1
c101_21_s1_4,12,1061.9066,0.0468,1205.1856,True,FULL,c101_21,1
c101_21_s1_5,12,1103.2966,0.0283,1205.1856,True,FULL,c101_21,1
c101_21_s1_6,12,1103.2966,0.0281,1205.1856,True,FULL,c101_21,1
c101_21_s1_7,12,1059.1882,0.0488,1205.1856,True,FULL,c101_21,1
c101_21_s1_8,12,1065.8387,0.0642,1199.3839,True,FULL,c101_21,1
c101_21_s1_9,12,1059.1882,0.0481,1205.1856,True,FULL,c101_21,1
c101_21_s1_10,12,1054.9104,0.0573,1204.876,True,FULL,c101_21,1
c101_21_s1_11,12,1059.1882,0.0485,1205.1856,True,FULL,c101_21,1
c101_21_s1_12,12,1054.315,0.0758,1199.3839,True,FULL,c101_21,1
c101_21_s1_13,12,1072.5879,0.0543,1199.3839,True,FULL,c101_21,1
c101_21_s1_14,12,1056.6199,0.0731,1199.3839,True,FULL,c101_21,1
c101_21_s1_15,12,1105.2966,0.0243,1205.1856,True,FULL,c101_21,1
c101_21_s1_16,12,1052.1107,0.09,1199.3839,True,FULL,c101_21,1
c101_21_s1_17,12,1052.3173,0.0773,1199.3839,True,FULL,c101_21,1
c101_21_s1_18,12,1051.5122,0.091,1199.3839,True,FULL,c101_21,1
c101_21_s1_19,12,1079.3638,0.0445,1199.3839,True,FULL,c101_21,1
c101_21_s1_20,12,1174.1911,0.0259,1199.3839,True,FULL,c101_21,1
c101_21_s1_21,12,1211.3996,0.023,1174.5529,True,FULL,c101_21,1
c101_21_s1_22,12,1095.5178,0.0306,1174.5529,True,FULL,c101_21,1
c101_21_s1_23,12,1105.2966,0.0242,1205.1856,True,FULL,c101_21,1
c101_21_s1_24,12,1056.7404,0.0693,1199.3839,True,FULL,c101_21,1
c101_21_s1_25,12,1073.6197,0.0787,1174.5529,True,FULL,c101_21,1
c101_21_s1_26,12,1092.805,0.0397,1174.5529,True,FULL,c101_21,1
