SolutionID,Z1,Z2,Z3,Z4,IsFeasible,Variant,Instance,Seed,Z1_common
c101C10_s1_5,3,388.2454,0.1195,1162.8058,True,FULL,c101C10,1,3.0
c101C5_s1_1,2,257.7475,0.1065,872.0789,True,FULL,c101C5,1,2.0
c101_21_s7_31,12,1044.5,0.0921,1199.3839,True,FULL,c101_21,7,12.0
c102_21_s2_18,11,1041.9537,0.0781,1215.2132,True,FULL,c102_21,2,11.0
c103C15_s3_11,3,374.4278,0.0668,1175.6675,True,FULL,c103C15,3,3.0
c103C5_s1_1,1,175.3692,0.0,1197.4184,True,FULL,c103C5,1,1.0
c104C10_s1_1,2,273.9312,0.2456,1185.9421,True,FULL,c104C10,1,2.0
c104_21_s2_24,10,904.5044,0.0355,1198.8609,True,FULL,c104_21,2,10.0
c105_21_s2_21,11,1058.4692,0.074,1222.5025,True,FULL,c105_21,2,11.0
c106C15_s1_0,3,275.1332,0.222,1082.9662,True,FULL,c106C15,1,3.0
c106_21_s9_32,11,1031.5689,0.0867,1223.0084,True,FULL,c106_21,9,11.0
c107_21_s3_56,11,1022.1426,0.0907,1200.7059,True,FULL,c107_21,3,11.0
c108_21_s6_67,11,1010.7038,0.0816,1234.241,True,FULL,c108_21,6,11.0
c109_21_s7_16,10,980.293,0.0649,1228.651,True,FULL,c109_21,7,10.0
c201_21_s1_0,4,629.9494,0.1553,3359.4904,True,FULL,c201_21,1,4.0
c202C10_s1_0,1,304.0583,0.0,3030.0,True,FULL,c202C10,1,1.0
c202C15_s1_0,2,397.2287,0.0799,2939.1172,True,FULL,c202C15,1,2.0
c202_21_s1_10,4,629.9494,0.1553,3359.4904,True,FULL,c202_21,1,4.0
c203_21_s3_6,4,629.9494,0.1553,3359.6728,True,FULL,c203_21,3,4.0
c204_21_s4_4,4,629.9494,0.1553,3360.7512,True,FULL,c204_21,4,4.0
c205C10_s1_0,2,228.2812,0.035,2739.5529,True,FULL,c205C10,1,2.0
c205_21_s1_2,4,629.9494,0.1553,3361.5298,True,FULL,c205_21,1,4.0
c206C5_s1_0,1,242.5557,0.0,2363.4712,True,FULL,c206C5,1,1.0
c206_21_s1_0,4,629.9494,0.1553,3361.713,True,FULL,c206_21,1,4.0
c207_21_s1_2,4,629.9494,0.1554,3361.8046,True,FULL,c207_21,1,4.0
c208C15_s1_0,2,300.5485,0.0509,2931.434,True,FULL,c208C15,1,2.0
c208C5_s1_0,1,158.4807,0.0,2174.3626,True,FULL,c208C5,1,1.0
c208_21_s1_11,4,629.9494,0.1554,3361.8046,True,FULL,c208_21,1,4.0
r101_21_s6_50,19,1615.8395,0.1253,228.5136,True,FULL,r101_21,6,19.0
r102C10_s1_0,4,262.9248,0.1824,202.0,True,FULL,r102C10,1,4.0
r102C15_s1_0,5,412.7823,0.1805,220.9159,True,FULL,r102C15,1,5.0
r102_21_s2_40,17,1458.2708,0.1297,226.4955,True,FULL,r102_21,2,17.0
r103C10_s1_2,2,206.1216,0.1296,224.1731,True,FULL,r103C10,1,2.0
r103_21_s9_25,14,1253.6297,0.1014,229.831,True,FULL,r103_21,9,14.0
r104C5_s1_0,2,136.6897,0.0579,194.3848,True,FULL,r104C5,1,2.0
r104_21_s5_43,12,1095.6071,0.0996,228.2332,True,FULL,r104_21,5,12.0
r105C15_s1_1,4,336.1536,0.1988,220.6196,True,FULL,r105C15,1,4.0
r105C5_s1_1,2,156.0821,0.1405,209.3246,True,FULL,r105C5,1,2.0
r105_21_s1_83,15,1377.7979,0.0878,225.6152,True,FULL,r105_21,1,15.0
r106_21_s10_90,14,1294.0432,0.0896,229.2865,True,FULL,r106_21,10,14.0
r107_21_s3_53,12,1126.6021,0.0779,229.7147,True,FULL,r107_21,3,12.0
r108_21_s3_53,11,1059.425,0.0715,228.8014,True,FULL,r108_21,3,11.0
r109_21_s6_60,13,1211.72,0.1018,228.6871,True,FULL,r109_21,6,13.0
r110_21_s2_42,12,1114.2145,0.0782,228.0682,True,FULL,r110_21,2,12.0
