instance,n_customers,n_stations,horizon,battery,capacity,charge_rate_g,tw_min,tw_max,tw_mean,tw_median,tw_tight_pct,tw_medium_pct,tw_wide_pct,total_demand,demand_mean,demand_max,demand_density,min_veh_demand,tw_looseness,battery_ratio,demand_per_cap,full_charge_time,charge_burden,spatial_spread,avg_nn_dist,avg_dist_to_station,stations_reachable,avg_stations_reachable_from_cust,complexity_score,tw_class,cap_class,suggested_vrFreq_multiplier,suggested_station_topK,suggested_frv_attempts_scale
c101C10,10,5,1236.0,77.75,200.0,3.47,48.0,72.0,60.8,64.0,1.0,0.0,0.0,200.0,20.0,40.0,1.0,1,0.04919093851132686,0.06290453074433656,0.1,269.7925,0.2182787216828479,26.31332641248368,17.59201737184926,11.669127448044637,5,2.4,2.0419296116504855,TIGHT,MED,0.97,3,0.53
c101C5,5,3,1236.0,77.75,200.0,3.47,52.0,72.0,58.4,54.0,1.0,0.0,0.0,90.0,18.0,30.0,0.45,1,0.04724919093851133,0.06290453074433656,0.09,269.7925,0.2182787216828479,27.27716363127546,30.565067324110498,18.060022050749655,3,2.0,2.056104368932039,TIGHT,MED,0.98,3,0.53
c101_21,100,21,1236.0,79.69,200.0,3.39,44.0,86.0,62.71,62.0,1.0,0.0,0.0,1810.0,18.1,50.0,9.05,10,0.05073624595469256,0.06447411003236246,0.0905,270.1491,0.2185672330097087,28.910045399949222,2.652459852838004,9.088809134810038,21,9.02,2.0679199029126214,TIGHT,MED,0.98,3,0.83
c102_21,100,21,1236.0,79.69,200.0,3.39,48.0,1136.0,327.57,66.0,0.75,0.0,0.25,1810.0,18.1,50.0,9.05,10,0.2650242718446602,0.06447411003236246,0.0905,270.1491,0.2185672330097087,28.910045399949222,2.652459852838004,9.088809134810038,21,9.02,2.7107839805825242,WIDE,MED,1.29,3,0.83
c103C15,15,5,1236.0,77.75,200.0,3.47,56.0,1125.0,557.2666666666667,84.0,0.5333333333333333,0.0,0.4666666666666667,260.0,17.333333333333332,40.0,1.3,2,0.4508629989212513,0.06290453074433656,0.08666666666666667,269.7925,0.2182787216828479,27.73722328107404,9.101999069438103,11.493617750198382,5,2.8,3.2736124595469254,WIDE,MED,1.56,3,0.57
c103C5,5,2,1236.0,77.75,200.0,3.47,72.0,1136.0,705.6,1115.0,0.4,0.0,0.6,90.0,18.0,40.0,0.45,1,0.570873786407767,0.06290453074433656,0.09,269.7925,0.2182787216828479,20.308441560556375,18.648123845037993,15.931490618710336,2,1.8,3.6269781553398057,WIDE,MED,1.73,3,0.53
c103_21,100,21,1236.0,79.69,200.0,3.39,48.0,1136.0,591.31,1094.0,0.5,0.0,0.5,1810.0,18.1,50.0,9.05,10,0.47840614886731386,0.06447411003236246,0.0905,270.1491,0.2185672330097087,28.910045399949222,2.652459852838004,9.088809134810038,21,9.02,3.350929611650485,WIDE,MED,1.6,3,0.83
c104C10,10,4,1236.0,77.75,200.0,3.47,66.0,1133.0,1013.5,1122.0,0.1,0.0,0.9,180.0,18.0,40.0,0.9,1,0.8199838187702265,0.06290453074433656,0.09,269.7925,0.2182787216828479,27.031708079133956,18.34114647508421,15.13760112494426,4,2.2,4.374308252427184,WIDE,MED,2.08,3,0.53
c104_21,100,21,1236.0,79.69,200.0,3.39,48.0,1136.0,854.34,1114.0,0.25,0.0,0.75,1810.0,18.1,50.0,9.05,10,0.6912135922330097,0.06447411003236246,0.0905,270.1491,0.2185672330097087,28.910045399949222,2.652459852838004,9.088809134810038,21,9.02,3.989351941747573,WIDE,MED,1.9,3,0.83
c105_21,100,21,1236.0,79.69,200.0,3.39,90.0,171.0,125.85,124.0,0.93,0.07,0.0,1810.0,18.1,50.0,9.05,10,0.10182038834951455,0.06447411003236246,0.0905,270.1491,0.2185672330097087,28.910045399949222,2.652459852838004,9.088809134810038,21,9.02,2.221172330097087,TIGHT,MED,1.06,3,0.83
c106C15,15,3,1236.0,77.75,200.0,3.47,48.0,390.0,192.4,180.0,0.2,0.8,0.0,170.0,11.333333333333334,20.0,0.85,1,0.15566343042071198,0.06290453074433656,0.056666666666666664,269.7925,0.2182787216828479,21.847587249343004,6.5091150236442195,15.190426965090182,3,2.0,2.448013754045308,MEDIUM,MED,1.17,3,0.53
c106_21,100,21,1236.0,79.69,200.0,3.39,22.0,390.0,188.2,182.0,0.29,0.71,0.0,1810.0,18.1,50.0,9.05,10,0.15226537216828478,0.06447411003236246,0.0905,270.1491,0.2185672330097087,28.910045399949222,2.652459852838004,9.088809134810038,21,9.02,2.372507281553398,MEDIUM,MED,1.13,3,0.83
c107_21,100,21,1236.0,79.69,200.0,3.39,180.0,180.0,180.0,180.0,0.0,1.0,0.0,1810.0,18.1,50.0,9.05,10,0.14563106796116504,0.06447411003236246,0.0905,270.1491,0.2185672330097087,28.910045399949222,2.652459852838004,9.088809134810038,21,9.02,2.3526043689320386,MEDIUM,MED,1.12,3,0.83
c108_21,100,21,1236.0,79.69,200.0,3.39,178.0,342.0,252.29,250.0,0.0,1.0,0.0,1810.0,18.1,50.0,9.05,10,0.20411812297734627,0.06447411003236246,0.0905,270.1491,0.2185672330097087,28.910045399949222,2.652459852838004,9.088809134810038,21,9.02,2.528065533980582,MEDIUM,MED,1.2,3,0.83
c109_21,100,21,1236.0,79.69,200.0,3.39,360.0,360.0,360.0,360.0,0.0,1.0,0.0,1810.0,18.1,50.0,9.05,10,0.2912621359223301,0.06447411003236246,0.0905,270.1491,0.2185672330097087,28.910045399949222,2.652459852838004,9.088809134810038,21,9.02,2.789497572815534,WIDE,MED,1.33,3,0.83
c201_21,100,21,3390.0,118.31,700.0,2.28,160.0,160.0,160.0,160.0,0.0,1.0,0.0,1810.0,18.1,50.0,2.585714285714286,3,0.0471976401179941,0.03489970501474926,0.025857142857142856,269.7468,0.07957132743362832,29.62009428276297,4.114091290774537,8.95055385646695,21,15.47,2.142228192161821,TIGHT,HIGH,1.02,3,0.6
c202C10,10,5,3390.0,77.75,700.0,3.47,160.0,3264.0,470.4,160.0,0.0,0.9,0.1,220.0,22.0,40.0,0.3142857142857143,1,0.13876106194690266,0.02293510324483776,0.03142857142857143,269.7925,0.07958480825958703,22.207159765406704,14.268544643467276,13.278021906222401,5,3.0,2.3878286978508214,MEDIUM,HIGH,1.14,3,0.53
c202C15,15,5,3390.0,77.75,700.0,3.47,160.0,3281.0,1194.6666666666667,160.0,0.0,0.6666666666666666,0.3333333333333333,240.0,16.0,50.0,0.34285714285714286,1,0.352409046214356,0.02293510324483776,0.022857142857142857,269.7925,0.07958480825958703,29.421039315859293,11.939692456438618,15.737253943056858,5,2.466666666666667,3.0459155077960385,WIDE,HIGH,1.45,3,0.53
c202_21,100,21,3390.0,118.31,700.0,2.28,160.0,3284.0,937.14,160.0,0.0,0.75,0.25,1810.0,18.1,50.0,2.585714285714286,3,0.2764424778761062,0.03489970501474926,0.025857142857142856,269.7468,0.07957132743362832,29.62009428276297,4.114091290774537,8.95055385646695,21,15.47,2.829962705436157,WIDE,HIGH,1.35,3,0.6
c203_21,100,21,3390.0,118.23,700.0,2.28,160.0,3289.0,1715.71,3244.0,0.0,0.5,0.5,1810.0,18.1,50.0,2.585714285714286,3,0.5061091445427729,0.03487610619469027,0.025857142857142856,269.5644,0.0795175221238938,29.62009428276297,4.114091290774537,8.95055385646695,21,15.45,3.5189273072060687,WIDE,HIGH,1.68,3,0.6
c204_21,100,21,3390.0,118.12,700.0,2.29,160.0,3291.0,2492.74,3266.0,0.0,0.25,0.75,1810.0,18.1,50.0,2.585714285714286,3,0.7353215339233038,0.034843657817109144,0.025857142857142856,270.4948,0.07979197640117994,29.62009428276297,4.114091290774537,8.95055385646695,21,15.4,4.206515802781289,WIDE,HIGH,2.0,3,0.6
c205C10,10,3,3390.0,77.75,700.0,3.47,320.0,320.0,320.0,320.0,0.0,1.0,0.0,180.0,18.0,40.0,0.2571428571428571,1,0.0943952802359882,0.02293510324483776,0.025714285714285714,269.7925,0.07958480825958703,28.349211975185717,11.260918008221262,16.485191055751052,3,1.8,2.26615992414665,TIGHT,HIGH,1.08,3,0.53
c205_21,100,21,3390.0,117.78,700.0,2.29,320.0,320.0,320.0,320.0,0.0,1.0,0.0,1810.0,18.1,50.0,2.585714285714286,3,0.0943952802359882,0.03474336283185841,0.025857142857142856,269.7162,0.07956230088495575,29.62009428276297,4.114091290774537,8.95055385646695,21,15.34,2.283586599241467,TIGHT,HIGH,1.09,3,0.6
c206C5,5,4,3390.0,77.75,700.0,3.47,522.0,622.0,578.8,582.0,0.0,0.0,1.0,70.0,14.0,20.0,0.1,1,0.17073746312684365,0.02293510324483776,0.02,269.7925,0.07958480825958703,29.11187324327505,27.301365262640775,17.05138231365041,4,2.6,2.5066150442477872,MEDIUM,HIGH,1.19,3,0.53
c206_21,100,21,3390.0,117.7,700.0,2.29,378.0,705.0,524.99,520.0,0.0,0.03,0.97,1810.0,18.1,50.0,2.585714285714286,3,0.15486430678466076,0.03471976401179941,0.025857142857142856,269.533,0.07950825958702065,29.62009428276297,4.114091290774537,8.95055385646695,21,15.32,2.4649582806573958,MEDIUM,HIGH,1.17,3,0.6
c207_21,100,21,3390.0,117.66,700.0,2.29,142.0,1368.0,694.99,676.0,0.01,0.12,0.87,1810.0,18.1,50.0,2.585714285714286,3,0.2050117994100295,0.03470796460176991,0.025857142857142856,269.4414,0.07948123893805309,29.62009428276297,4.114091290774537,8.95055385646695,21,15.32,2.615383059418458,MEDIUM,HIGH,1.25,3,0.6
c208C15,15,4,3390.0,77.75,700.0,3.47,640.0,640.0,640.0,640.0,0.0,0.0,1.0,250.0,16.666666666666668,30.0,0.35714285714285715,1,0.1887905604719764,0.02293510324483776,0.023809523809523808,269.7925,0.07958480825958703,29.230163848465374,9.083949436576948,16.121685180707527,4,1.8666666666666667,2.553155288664138,MEDIUM,HIGH,1.22,3,0.53
c208C5,5,3,3390.0,77.75,700.0,3.47,640.0,640.0,640.0,640.0,0.0,0.0,1.0,100.0,20.0,30.0,0.14285714285714285,1,0.1887905604719764,0.02293510324483776,0.02857142857142857,269.7925,0.07958480825958703,20.907220709489827,13.905876529802537,15.090515535621439,3,1.8,2.5436314791403287,MEDIUM,HIGH,1.21,3,0.53
c208_21,100,21,3390.0,117.66,700.0,2.29,640.0,640.0,640.0,640.0,0.0,0.0,1.0,1810.0,18.1,50.0,2.585714285714286,3,0.1887905604719764,0.03470796460176991,0.025857142857142856,269.4414,0.07948123893805309,29.62009428276297,4.114091290774537,8.95055385646695,21,15.32,2.5667193426042987,MEDIUM,HIGH,1.22,3,0.6
r101_21,100,21,230.0,62.14,200.0,0.48,10.0,10.0,10.0,10.0,1.0,0.0,0.0,1458.0,14.58,41.0,7.29,8,0.043478260869565216,0.27017391304347826,0.0729,29.827199999999998,0.12968347826086957,24.91597558243783,5.2106983823593005,6.74506225715273,21,8.53,2.389895652173913,TIGHT,MED,1.14,1,0.77
r102C10,10,4,230.0,60.63,200.0,0.49,10.0,201.0,64.8,10.0,0.7,0.3,0.0,155.0,15.5,29.0,0.775,1,0.2817391304347826,0.26360869565217393,0.0775,29.7087,0.12916826086956523,23.167094513855062,10.309237645665482,13.497156446975072,4,1.9,3.0856304347826087,WIDE,MED,1.47,1,0.53
r102C15,15,8,230.0,60.63,200.0,0.49,10.0,202.0,34.93333333333333,10.0,0.8666666666666667,0.13333333333333333,0.0,191.0,12.733333333333333,36.0,0.955,1,0.15188405797101448,0.26360869565217393,0.06366666666666666,29.7087,0.12916826086956523,21.58838429585755,10.075729567890152,11.587682030529686,8,3.933333333333333,2.723731884057971,MEDIUM,MED,1.3,1,0.53
r102_21,100,21,230.0,62.14,200.0,0.48,10.0,215.0,56.55,10.0,0.75,0.25,0.0,1458.0,14.58,41.0,7.29,8,0.24586956521739128,0.27017391304347826,0.0729,29.827199999999998,0.12968347826086957,24.91597558243783,5.2106983823593005,6.74506225715273,21,8.53,2.9970695652173913,MEDIUM,MED,1.43,1,0.77
r103C10,10,3,230.0,60.63,200.0,0.49,10.0,215.0,124.7,192.0,0.4,0.6,0.0,139.0,13.9,26.0,0.695,1,0.5421739130434783,0.26360869565217393,0.0695,29.7087,0.12916826086956523,17.173755157144065,8.814207975833963,9.81649901440073,3,2.7,3.882934782608696,WIDE,MED,1.85,1,0.53
