Segment,OperatorName,Type,Weight,Score,UsageCount
100,Worst Distance Node Removal,Destroy,1.0000,155.0000,25
100,Shaw Removal (Related),Destroy,1.0000,225.0000,19
100,Fewest Customers Route Removal,Destroy,1.0000,170.0000,22
100,Longest Wait Time Route Removal,Destroy,1.0000,100.0000,18
100,Pareto Focus Destroy,Destroy,1.0000,120.0000,16
100,Greedy Time Insertion,Repair,1.0000,135.0000,20
100,Greedy Distance Insertion,Repair,1.0000,215.0000,25
100,Regret-3 Repair,Repair,1.0000,85.0000,20
100,Greedy Station Repair,Repair,1.0000,250.0000,18
100,Pareto Focus Repair,Repair,1.0000,85.0000,17
300,Worst Distance Node Removal,Destroy,2.0400,250.0000,33
300,Shaw Removal (Related),Destroy,3.1684,395.0000,52
300,Fewest Customers Route Removal,Destroy,2.3455,245.0000,39
300,Longest Wait Time Route Removal,Destroy,1.9111,320.0000,42
300,Pareto Focus Destroy,Destroy,2.3000,260.0000,34
300,Greedy Time Insertion,Repair,2.1500,170.0000,34
300,Greedy Distance Insertion,Repair,2.5200,245.0000,38
300,Regret-3 Repair,Repair,1.6500,95.0000,29
300,Greedy Station Repair,Repair,3.5778,810.0000,74
300,Pareto Focus Repair,Repair,1.8000,150.0000,25
400,Worst Distance Node Removal,Destroy,3.1472,130.0000,15
400,Shaw Removal (Related),Destroy,4.0540,100.0000,21
400,Fewest Customers Route Removal,Destroy,3.1328,130.0000,28
400,Longest Wait Time Route Removal,Destroy,3.0527,95.0000,18
400,Pareto Focus Destroy,Destroy,3.3694,120.0000,18
400,Greedy Time Insertion,Repair,2.7200,70.0000,14
400,Greedy Distance Insertion,Repair,3.3055,105.0000,21
400,Regret-3 Repair,Repair,1.9752,25.0000,12
400,Greedy Station Repair,Repair,5.0514,315.0000,40
400,Pareto Focus Repair,Repair,2.6400,60.0000,13
500,Worst Distance Node Removal,Destroy,4.2511,60.0000,16
500,Shaw Removal (Related),Destroy,4.1956,105.0000,22
500,Fewest Customers Route Removal,Destroy,3.4348,50.0000,21
500,Longest Wait Time Route Removal,Destroy,3.4977,50.0000,20
500,Pareto Focus Destroy,Destroy,4.0289,100.0000,21
500,Greedy Time Insertion,Repair,3.1760,60.0000,19
500,Greedy Distance Insertion,Repair,3.6444,85.0000,20
500,Regret-3 Repair,Repair,1.9968,50.0000,16
500,Greedy Station Repair,Repair,5.6161,120.0000,34
500,Pareto Focus Repair,Repair,3.0351,50.0000,11
600,Worst Distance Node Removal,Destroy,4.1508,75.0000,17
600,Shaw Removal (Related),Destroy,4.3110,85.0000,18
600,Fewest Customers Route Removal,Destroy,3.2240,40.0000,18
600,Longest Wait Time Route Removal,Destroy,3.2982,50.0000,25
600,Pareto Focus Destroy,Destroy,4.1755,110.0000,22
600,Greedy Time Insertion,Repair,3.1724,45.0000,14
600,Greedy Distance Insertion,Repair,3.7655,115.0000,24
600,Regret-3 Repair,Repair,2.2224,40.0000,12
600,Greedy Station Repair,Repair,5.1988,105.0000,28
600,Pareto Focus Repair,Repair,3.3372,55.0000,22
700,Worst Distance Node Removal,Destroy,4.2030,90.0000,19
700,Shaw Removal (Related),Destroy,4.3932,90.0000,21
700,Fewest Customers Route Removal,Destroy,3.0237,45.0000,23
700,Longest Wait Time Route Removal,Destroy,3.0385,15.0000,12
700,Pareto Focus Destroy,Destroy,4.3404,120.0000,25
700,Greedy Time Insertion,Repair,3.1808,55.0000,14
700,Greedy Distance Insertion,Repair,3.9707,70.0000,18
700,Regret-3 Repair,Repair,2.4446,55.0000,13
700,Greedy Station Repair,Repair,4.9090,130.0000,37
700,Pareto Focus Repair,Repair,3.1697,50.0000,18
800,Worst Distance Node Removal,Destroy,4.3098,85.0000,18
800,Shaw Removal (Related),Destroy,4.3717,85.0000,23
800,Fewest Customers Route Removal,Destroy,2.8102,30.0000,21
800,Longest Wait Time Route Removal,Destroy,2.6808,20.0000,11
800,Pareto Focus Destroy,Destroy,4.4323,130.0000,27
800,Greedy Time Insertion,Repair,3.3303,55.0000,17
800,Greedy Distance Insertion,Repair,3.9544,100.0000,22
800,Regret-3 Repair,Repair,2.8019,40.0000,13
800,Greedy Station Repair,Repair,4.6299,115.0000,32
800,Pareto Focus Repair,Repair,3.0913,40.0000,16
900,Worst Distance Node Removal,Destroy,4.3923,135.0000,28
900,Shaw Removal (Related),Destroy,4.2365,65.0000,14
900,Fewest Customers Route Removal,Destroy,2.5339,30.0000,17
900,Longest Wait Time Route Removal,Destroy,2.5083,20.0000,15
900,Pareto Focus Destroy,
