Segment,OperatorName,Type,Weight,Score,UsageCount
200,EnergyCriticalRemoval,Destroy,2.5000,590.0000,37
200,Route Merging Destroy,Destroy,3.0000,660.0000,33
200,TimeSlackDestroy,Destroy,2.5000,960.0000,45
200,Random Removal,Destroy,2.0000,550.0000,25
200,VehicleReductionAwareDestroy,Destroy,3.5000,900.0000,60
200,ChargingAwareRouteBuilder,Repair,2.0000,660.0000,38
200,Adaptive Insertion,Repair,2.0000,660.0000,42
200,Greedy Energy Insertion (Enhanced),Repair,1.5000,660.0000,30
200,Smart Station Repair,Repair,2.5000,1120.0000,51
200,Regret-3 Repair (Smart Packing),Repair,2.5000,560.0000,39
400,EnergyCriticalRemoval,Destroy,4.5169,615.0000,31
400,Route Merging Destroy,Destroy,5.5500,640.0000,44
400,TimeSlackDestroy,Destroy,5.3250,725.0000,46
400,Random Removal,Destroy,5.0000,700.0000,37
400,VehicleReductionAwareDestroy,Destroy,5.2250,630.0000,42
400,ChargingAwareRouteBuilder,Repair,4.3053,790.0000,42
400,Adaptive Insertion,Repair,4.0571,480.0000,30
400,Greedy Energy Insertion (Enhanced),Repair,4.5750,775.0000,44
400,Smart Station Repair,Repair,5.4191,660.0000,43
400,Regret-3 Repair (Smart Packing),Repair,4.2788,605.0000,41
600,EnergyCriticalRemoval,Destroy,6.8152,820.0000,47
600,Route Merging Destroy,Destroy,6.8993,645.0000,33
600,TimeSlackDestroy,Destroy,6.8904,630.0000,35
600,Random Removal,Destroy,7.0878,720.0000,42
600,VehicleReductionAwareDestroy,Destroy,6.6913,645.0000,43
600,ChargingAwareRouteBuilder,Repair,6.4809,965.0000,47
600,Adaptive Insertion,Repair,5.8486,525.0000,32
600,Greedy Energy Insertion (Enhanced),Repair,6.5308,630.0000,40
600,Smart Station Repair,Repair,6.9086,835.0000,44
600,Regret-3 Repair (Smart Packing),Repair,5.8504,505.0000,37
800,EnergyCriticalRemoval,Destroy,8.4099,780.0000,42
800,Route Merging Destroy,Destroy,8.7962,575.0000,37
800,TimeSlackDestroy,Destroy,8.5568,750.0000,48
800,Random Removal,Destroy,8.5961,755.0000,37
800,VehicleReductionAwareDestroy,Destroy,7.9376,540.0000,36
800,ChargingAwareRouteBuilder,Repair,8.5886,980.0000,51
800,Adaptive Insertion,Repair,7.4322,605.0000,39
800,Greedy Energy Insertion (Enhanced),Repair,7.9137,645.0000,36
800,Smart Station Repair,Repair,8.7189,495.0000,31
800,Regret-3 Repair (Smart Packing),Repair,7.0202,675.0000,43
1000,EnergyCriticalRemoval,Destroy,9.9341,550.0000,31
1000,Route Merging Destroy,Destroy,9.8079,650.0000,38
1000,TimeSlackDestroy,Destroy,9.6170,945.0000,51
1000,Random Removal,Destroy,10.3675,810.0000,49
1000,VehicleReductionAwareDestroy,Destroy,8.9969,465.0000,31
1000,ChargingAwareRouteBuilder,Repair,10.1826,865.0000,48
1000,Adaptive Insertion,Repair,8.6443,730.0000,42
1000,Greedy Energy Insertion (Enhanced),Repair,9.4141,610.0000,35
1000,Smart Station Repair,Repair,9.8062,495.0000,29
1000,Regret-3 Repair (Smart Packing),Repair,8.3218,720.0000,46
1200,EnergyCriticalRemoval,Destroy,11.1053,845.0000,45
1200,Route Merging Destroy,Destroy,10.9025,790.0000,40
1200,TimeSlackDestroy,Destroy,10.9539,740.0000,45
1200,Random Removal,Destroy,11.2920,460.0000,32
1200,VehicleReductionAwareDestroy,Destroy,9.8974,570.0000,38
1200,ChargingAwareRouteBuilder,Repair,11.3584,740.0000,44
1200,Adaptive Insertion,Repair,9.9548,455.0000,29
1200,Greedy Energy Insertion (Enhanced),Repair,10.6163,930.0000,55
1200,Smart Station Repair,Repair,10.8956,600.0000,30
1200,Regret-3 Repair (Smart Packing),Repair,9.4213,680.0000,42
1400,EnergyCriticalRemoval,Destroy,12.2562,790.0000,42
1400,Route Merging Destroy,Destroy,12.2296,840.0000,45
1400,TimeSlackDestroy,Destroy,11.7775,705.0000,39
1400,Random Removal,Destroy,11.7544,550.0000,33
1400,VehicleReductionAwareDestroy,Destroy,10.6628,615.0000,41
