Iteration,Timestamp_ms,ArchiveSize,BestDistance,BestVehicles,BestMaxTime,BestWorkloadGini
200,46,2,257.7475,2,872.0789,0.0405
400,103,3,257.7475,2,872.0789,0.0376
600,167,3,257.7475,2,872.0789,0.0376
800,216,5,257.7475,2,872.0789,0.0258
1000,273,6,257.7475,2,872.0789,0.0107
1200,339,6,257.7475,2,872.0789,0.0107
1400,404,6,257.7475,2,872.0789,0.0107
1600,450,7,257.7475,2,872.0789,0.0107
1800,500,7,257.7475,2,872.0789,0.0107
2000,544,7,257.7475,2,872.0789,0.0107
2200,593,7,257.7475,2,872.0789,0.0107
2400,638,9,257.7475,2,872.0789,0.0001
2600,694,9,257.7475,2,872.0789,0.0001
2800,736,9,257.7475,2,872.0789,0.0001
3000,782,9,257.7475,2,872.0789,0.0001
3200,824,9,257.7475,2,872.0789,0.0001
3400,876,9,257.7475,2,872.0789,0.0001
3600,918,8,257.7475,2,872.0789,0.0001
3800,969,8,257.7475,2,872.0789,0.0001
4000,1010,8,257.7475,2,872.0789,0.0001
4200,1098,8,257.7475,2,872.0789,0.0001
4400,1173,9,257.7475,2,872.0789,0.0001
4600,1225,9,257.7475,2,872.0789,0.0001
4800,1272,10,257.7475,2,872.0789,0.0001
5000,1347,10,257.7475,2,872.0789,0.0001
5200,1414,10,257.7475,2,872.0789,0.0001
5400,1485,10,257.7475,2,872.0789,0.0001
5600,1525,10,257.7475,2,872.0789,0.0001
5800,1542,10,257.7475,2,872.0789,0.0001
6000,1562,10,257.7475,2,872.0789,0.0001
6200,1582,10,257.7475,2,872.0789,0.0001
6400,1635,10,257.7475,2,872.0789,0.0001
6600,1704,10,257.7475,2,872.0789,0.0001
6800,1784,9,257.7475,2,872.0789,0.0009
7000,1837,9,257.7475,2,872.0789,0.0009
7200,1906,9,257.7475,2,872.0789,0.0009
7400,1954,9,257.7475,2,872.0789,0.0009
7600,2030,9,257.7475,2,872.0789,0.0009
7800,2083,9,257.7475,2,872.0789,0.0009
8000,2116,9,257.7475,2,872.0789,0.0009
8200,2141,9,257.7475,2,872.0789,0.0009
8400,2175,9,257.7475,2,872.0789,0.0009
8600,2209,9,257.7475,2,872.0789,0.0009
8800,2244,9,257.7475,2,872.0789,0.0009
9000,2275,9,257.7475,2,872.0789,0.0009
9200,2317,9,257.7475,2,872.0789,0.0009
9400,2379,9,257.7475,2,872.0789,0.0009
9600,2417,9,257.7475,2,872.0789,0.0009
9800,2451,9,257.7475,2,872.0789,0.0009
10000,2497,9,257.7475,2,872.0789,0.0009
10200,2535,9,257.7475,2,872.0789,0.0009
10400,2561,9,257.7475,2,872.0789,0.0009
10600,2599,9,257.7475,2,872.0789,0.0009
10800,2632,9,257.7475,2,872.0789,0.0009
11000,2651,9,257.7475,2,872.0789,0.0009
11200,2673,9,257.7475,2,872.0789,0.0009
11400,2707,9,257.7475,2,872.0789,0.0009
11600,2749,9,257.7475,2,872.0789,0.0009
11800,2801,9,257.7475,2,872.0789,0.0009
