SolutionID,TotalVehicles,TotalDistance,WorkloadGini,MaxTime,IsFeasible
1,12,1057.2122,0.0734,1199.3839,true
2,12,1157.5075,0.0387,1197.1001,true
3,12,1080.6137,0.0634,1202.4998,true
4,12,1057.2302,0.0710,1199.3839,true
5,12,1057.2302,0.0720,1199.3839,true
6,12,1082.8748,0.0583,1210.0871,true
7,12,1055.1358,0.0793,1199.3839,true
8,12,1055.1358,0.0794,1199.3839,true
9,12,1193.1969,0.0350,1174.5529,true
10,12,1056.0533,0.0919,1174.5529,true
11,12,1084.2228,0.0438,1199.3839,true
12,12,1056.7404,0.0764,1199.3839,true
13,12,1182.9807,0.0492,1174.5529,true
14,12,1105.0009,0.0277,1199.3839,true
15,12,1052.2719,0.1096,1199.3839,true
16,12,1060.6057,0.0694,1174.5529,true
17,12,1053.1559,0.0852,1199.3839,true
18,12,1096.4195,0.0618,1182.3839,true
19,12,1058.6467,0.0646,1199.3839,true
20,12,1052.3508,0.0970,1199.3839,true
21,12,1052.2719,0.1097,1199.3839,true
22,12,1108.1088,0.0573,1174.5529,true
