Segment,OperatorName,Type,Weight,Score,UsageCount
200,EnergyCriticalRemoval,Destroy,2.5000,610.0000,34
200,Route Merging Destroy,Destroy,3.0000,765.0000,48
200,TimeSlackDestroy,Destroy,2.5000,700.0000,38
200,Random Removal,Destroy,2.0000,340.0000,19
200,VehicleReductionAwareDestroy,Destroy,3.5000,935.0000,61
200,ChargingAwareRouteBuilder,Repair,2.0000,720.0000,39
200,Adaptive Insertion,Repair,2.0000,640.0000,42
200,Greedy Energy Insertion (Enhanced),Repair,1.5000,385.0000,25
200,Smart Station Repair,Repair,2.5000,770.0000,38
200,Regret-3 Repair (Smart Packing),Repair,2.5000,835.0000,56
400,EnergyCriticalRemoval,Destroy,4.8162,685.0000,37
400,Route Merging Destroy,Destroy,4.9406,550.0000,37
400,TimeSlackDestroy,Destroy,4.8882,865.0000,53
400,Random Removal,Destroy,4.3842,685.0000,42
400,VehicleReductionAwareDestroy,Destroy,5.2742,455.0000,31
400,ChargingAwareRouteBuilder,Repair,4.4692,695.0000,37
400,Adaptive Insertion,Repair,3.9857,535.0000,38
400,Greedy Energy Insertion (Enhanced),Repair,3.5850,395.0000,30
400,Smart Station Repair,Repair,5.1645,835.0000,47
400,Regret-3 Repair (Smart Packing),Repair,4.3616,780.0000,48
600,EnergyCriticalRemoval,Destroy,6.8708,715.0000,44
600,Route Merging Destroy,Destroy,6.4293,595.0000,42
600,TimeSlackDestroy,Destroy,6.6030,525.0000,33
600,Random Removal,Destroy,6.1730,600.0000,36
600,VehicleReductionAwareDestroy,Destroy,6.6847,730.0000,45
600,ChargingAwareRouteBuilder,Repair,6.6164,730.0000,44
600,Adaptive Insertion,Repair,5.4997,505.0000,31
600,Greedy Energy Insertion (Enhanced),Repair,5.0223,340.0000,26
600,Smart Station Repair,Repair,7.0547,805.0000,50
600,Regret-3 Repair (Smart Packing),Repair,6.1449,785.0000,49
800,EnergyCriticalRemoval,Destroy,8.2777,740.0000,40
800,Route Merging Destroy,Destroy,7.5899,560.0000,39
800,TimeSlackDestroy,Destroy,7.9990,740.0000,45
800,Random Removal,Destroy,7.7471,795.0000,45
800,VehicleReductionAwareDestroy,Destroy,8.1153,400.0000,31
800,ChargingAwareRouteBuilder,Repair,8.1126,790.0000,40
800,Adaptive Insertion,Repair,7.1183,475.0000,32
800,Greedy Energy Insertion (Enhanced),Repair,6.2305,400.0000,28
800,Smart Station Repair,Repair,8.4115,920.0000,56
800,Regret-3 Repair (Smart Packing),Repair,7.6262,650.0000,44
1000,EnergyCriticalRemoval,Destroy,9.8110,615.0000,37
1000,Route Merging Destroy,Destroy,8.6052,525.0000,39
1000,TimeSlackDestroy,Destroy,9.2658,695.0000,48
1000,Random Removal,Destroy,9.2350,715.0000,39
1000,VehicleReductionAwareDestroy,Destroy,8.8335,485.0000,37
1000,ChargingAwareRouteBuilder,Repair,9.8582,720.0000,46
1000,Adaptive Insertion,Repair,8.2771,485.0000,32
1000,Greedy Energy Insertion (Enhanced),Repair,7.4387,525.0000,34
1000,Smart Station Repair,Repair,9.6141,735.0000,49
1000,Regret-3 Repair (Smart Packing),Repair,8.6982,570.0000,39
1200,EnergyCriticalRemoval,Destroy,10.8326,780.0000,41
1200,Route Merging Destroy,Destroy,9.3337,360.0000,25
1200,TimeSlackDestroy,Destroy,10.0478,845.0000,56
1200,Random Removal,Destroy,10.5997,645.0000,43
1200,VehicleReductionAwareDestroy,Destroy,9.4747,455.0000,35
1200,ChargingAwareRouteBuilder,Repair,10.7273,715.0000,45
1200,Adaptive Insertion,Repair,9.3090,515.0000,37
1200,Greedy Energy Insertion (Enhanced),Repair,8.6391,590.0000,41
1200,Smart Station Repair,Repair,10.4219,820.0000,48
1200,Regret-3 Repair (Smart Packing),Repair,9.5858,445.0000,29
1400,EnergyCriticalRemoval,Destroy,12.0614,830.0000,53
1400,Route Merging Destroy,Destroy,10.0936,605.0000,42
1400,TimeSlackDestroy,Destroy,10.8040,490.0000,38
1400,Random Removal,Destroy,11.2598,585.0000,34
1400,VehicleReductionAwareDestroy,Destroy,10.0035,480.0000,33
1400,ChargingAwareRouteBuilder,Repair,11.5015,670.0000,47
1400,Adaptive Insertion,Repair,10.0005,450.0000,36
1400,Greedy Energy Insertion (Enhanced),Repair,9.5018,625.0000,43
1400,Smart Station Repair,Repair,11.4212,675.0000,37
1400,Regret-3 Repair (Smart Packing),Repair,10.4496,570.0000,37
1600,EnergyCriticalRemoval,Destroy,12.6012,720.0000,42
1600,Route Merging Destroy,Destroy,10.7403,560.0000,37
1600,TimeSlackDestroy,Destroy,11.1176,725.0000,48
1600,Random Removal,Destroy,12.1517,665.0000,42
1600,VehicleReductionAwareDestroy,Destroy,10.6848,390.0000,31
