Iteration,Timestamp_ms,ArchiveSize,BestDistance,BestVehicles,BestMaxTime,BestWorkloadGini
200,14357,13,1055.9353,12,1182.3839,0.0429
400,23058,13,1055.9353,12,1174.5529,0.0350
600,37087,9,1055.9353,12,1174.5529,0.0350
800,53051,10,1055.9353,12,1174.5529,0.0350
1000,76182,13,1055.9353,12,1174.5529,0.0360
1200,101088,12,1055.9353,12,1174.5529,0.0360
1400,122304,12,1055.9353,12,1174.5529,0.0360
1600,142683,11,1053.3350,12,1174.5529,0.0360
1800,157421,12,1053.3350,12,1174.5529,0.0360
2000,182884,14,1053.3350,12,1174.5529,0.0360
2200,198430,14,1053.3350,12,1174.5529,0.0360
2400,213533,15,1053.3350,12,1174.5529,0.0360
2600,231367,15,1053.3350,12,1174.5529,0.0360
2800,249587,15,1053.3350,12,1174.5529,0.0360
3000,262263,13,1053.3350,12,1174.5529,0.0269
3200,279409,13,1053.3350,12,1174.5529,0.0269
3400,299152,14,1053.3350,12,1174.5529,0.0269
3600,319720,15,1053.3350,12,1174.5529,0.0269
3800,332528,17,1053.3350,12,1174.5529,0.0269
4000,352266,18,1053.3350,12,1174.5529,0.0269
4200,364928,18,1053.3350,12,1174.5529,0.0269
4400,378107,18,1053.3350,12,1174.5529,0.0269
4600,397434,18,1053.3350,12,1174.5529,0.0269
4800,410302,19,1053.3350,12,1174.5529,0.0269
5000,427499,19,1053.3350,12,1174.5529,0.0269
5200,443689,19,1053.3350,12,1174.5529,0.0269
5400,459195,19,1053.3350,12,1174.5529,0.0269
5600,467096,19,1053.3350,12,1174.5529,0.0269
5800,467515,19,1053.3350,12,1174.5529,0.0269
6000,467991,19,1053.3350,12,1174.5529,0.0269
6200,468391,20,1053.3350,12,1174.5529,0.0269
6400,475577,20,1053.3350,12,1174.5529,0.0269
6600,491630,20,1053.3350,12,1174.5529,0.0269
6800,501891,20,1053.3350,12,1174.5529,0.0269
7000,514038,22,1053.3350,12,1174.5529,0.0269
7200,526572,22,1053.3350,12,1174.5529,0.0269
7400,537524,23,1053.3350,12,1174.5529,0.0269
7600,547449,23,1053.3350,12,1174.5529,0.0269
7800,560795,23,1053.3350,12,1174.5529,0.0269
8000,568606,23,1053.3350,12,1174.5529,0.0269
8200,582672,24,1053.3350,12,1174.5529,0.0269
8400,597302,25,1053.3350,12,1174.5529,0.0269
8600,606797,25,1053.3350,12,1174.5529,0.0269
8800,614864,25,1053.3350,12,1174.5529,0.0269
9000,623781,26,1053.3350,12,1174.5529,0.0269
9200,642270,26,1053.3350,12,1174.5529,0.0269
9400,654437,26,1053.3350,12,1174.5529,0.0269
9600,670078,27,1053.3350,12,1174.5529,0.0269
9800,679174,27,1053.3350,12,1174.5529,0.0269
10000,690522,27,1053.3350,12,1174.5529,0.0269
10200,702830,28,1053.3350,12,1174.5529,0.0269
10400,715837,29,1053.3350,12,1174.5529,0.0269
10600,723052,26,1053.3350,12,1174.5529,0.0277
10800,738839,26,1053.3350,12,1174.5529,0.0277
11000,753202,27,1052.2719,12,1174.5529,0.0277
11200,769632,27,1052.2719,12,1174.5529,0.0277
11400,780010,27,1052.2719,12,1174.5529,0.0277
11600,791318,27,1052.2719,12,1174.5529,0.0277
11800,805075,28,1052.2719,12,1174.5529,0.0277
12000,815596,28,1052.2719,12,1174.5529,0.0277
12200,825453,28,1052.2719,12,1174.5529,0.0277
12400,840551,28,1052.2719,12,1174.5529,0.0277
12600,850659,28,1052.2719,12,1174.5529,0.0277
12800,864961,23,1052.2719,12,1174.5529,0.0277
13000,879782,23,1052.2719,12,1174.5529,0.0277
13200,891302,23,1052.2719,12,1174.5529,0.0277
13400,902620,24,1052.2719,12,1174.5529,0.0277
13600,916260,24,1052.2719,12,1174.5529,0.0277
13800,927655,24,1052.2719,12,1174.5529,0.0277
14000,938999,24,1052.2719,12,1174.5529,0.0277
14200,957870,25,1052.2719,12,1174.5529,0.0277
14400,968658,25,1052.2719,12,1174.5529,0.0277
14600,982221,22,1052.2719,12,1174.5529,0.0277
