SolutionID,TotalVehicles,TotalDistance,WorkloadGini,MaxTime,IsFeasible
1,18,1664.8637,0.0629,228.5136,true
2,18,1660.9843,0.0771,228.5136,true
3,18,1678.4530,0.0492,228.5136,true
4,18,1632.0145,0.0889,228.5136,true
5,18,1662.1764,0.0746,228.5136,true
6,18,1639.1325,0.0807,228.5136,true
7,18,1632.0145,0.0889,228.5136,true
8,18,1685.3332,0.0447,228.5136,true
9,18,1666.6587,0.0511,228.5136,true
10,18,1631.7436,0.0930,228.5136,true
11,18,1631.7436,0.0928,228.5136,true
12,18,1630.5606,0.0945,228.5136,true
13,18,1702.2160,0.0388,228.5136,true
14,18,1684.1503,0.0477,228.5136,true
15,18,1666.6587,0.0508,228.5136,true
16,18,1694.5054,0.0559,225.6218,true
17,18,1684.2877,0.0601,225.6218,true
18,18,1684.2877,0.0599,225.6218,true
19,18,1684.2877,0.0606,225.6218,true
20,18,1684.2877,0.0599,225.6218,true
21,18,1684.2877,0.0604,225.6218,true
22,18,1629.2726,0.1017,228.5136,true
23,18,1725.1268,0.0545,226.3794,true
