Segment,OperatorName,Type,Weight,Score,UsageCount
200,EnergyCriticalRemoval,Destroy,2.5000,760.0000,43
200,Route Merging Destroy,Destroy,3.0000,635.0000,41
200,TimeSlackDestroy,Destroy,2.5000,570.0000,37
200,Random Removal,Destroy,2.0000,415.0000,27
200,VehicleReductionAwareDestroy,Destroy,3.5000,690.0000,52
200,ChargingAwareRouteBuilder,Repair,2.0000,480.0000,38
200,Adaptive Insertion,Repair,2.0000,600.0000,39
200,Greedy Energy Insertion (Enhanced),Repair,1.5000,520.0000,37
200,Smart Station Repair,Repair,2.5000,860.0000,46
200,Regret-3 Repair (Smart Packing),Repair,2.5000,610.0000,40
400,EnergyCriticalRemoval,Destroy,4.7762,790.0000,38
400,Route Merging Destroy,Destroy,4.8732,575.0000,39
400,TimeSlackDestroy,Destroy,4.4358,685.0000,46
400,Random Removal,Destroy,4.0056,460.0000,29
400,VehicleReductionAwareDestroy,Destroy,4.9654,835.0000,48
400,ChargingAwareRouteBuilder,Repair,3.5947,625.0000,38
400,Adaptive Insertion,Repair,4.0077,520.0000,34
400,Greedy Energy Insertion (Enhanced),Repair,3.3831,575.0000,35
400,Smart Station Repair,Repair,4.9293,1045.0000,53
400,Regret-3 Repair (Smart Packing),Repair,4.4125,580.0000,40
600,EnergyCriticalRemoval,Destroy,7.1782,910.0000,48
600,Route Merging Destroy,Destroy,6.3537,570.0000,41
600,TimeSlackDestroy,Destroy,6.0041,625.0000,40
600,Random Removal,Destroy,5.7840,585.0000,37
600,VehicleReductionAwareDestroy,Destroy,6.8300,470.0000,34
600,ChargingAwareRouteBuilder,Repair,5.5226,575.0000,30
600,Adaptive Insertion,Repair,5.7007,510.0000,36
600,Greedy Energy Insertion (Enhanced),Repair,5.3399,505.0000,37
600,Smart Station Repair,Repair,7.1475,950.0000,55
600,Regret-3 Repair (Smart Packing),Repair,5.9256,620.0000,42
800,EnergyCriticalRemoval,Destroy,8.9452,485.0000,36
800,Route Merging Destroy,Destroy,7.4860,515.0000,34
800,TimeSlackDestroy,Destroy,7.4473,615.0000,40
800,Random Removal,Destroy,7.2880,810.0000,50
800,VehicleReductionAwareDestroy,Destroy,7.8790,560.0000,40
800,ChargingAwareRouteBuilder,Repair,7.5692,720.0000,51
800,Adaptive Insertion,Repair,6.9706,545.0000,38
800,Greedy Energy Insertion (Enhanced),Repair,6.5862,510.0000,32
800,Smart Station Repair,Repair,8.6663,735.0000,47
800,Regret-3 Repair (Smart Packing),Repair,7.2511,475.0000,32
1000,EnergyCriticalRemoval,Destroy,9.6242,440.0000,29
1000,Route Merging Destroy,Destroy,8.6352,645.0000,45
1000,TimeSlackDestroy,Destroy,8.6364,690.0000,43
1000,Random Removal,Destroy,8.6248,595.0000,37
1000,VehicleReductionAwareDestroy,Destroy,8.7971,650.0000,46
1000,ChargingAwareRouteBuilder,Repair,8.5515,705.0000,46
1000,Adaptive Insertion,Repair,8.0763,490.0000,34
1000,Greedy Energy Insertion (Enhanced),Repair,7.9889,370.0000,30
1000,Smart Station Repair,Repair,9.7121,855.0000,50
1000,Regret-3 Repair (Smart Packing),Repair,8.3900,600.0000,40
1200,EnergyCriticalRemoval,Destroy,10.4565,885.0000,45
1200,Route Merging Destroy,Destroy,9.4899,550.0000,38
1200,TimeSlackDestroy,Destroy,9.7479,715.0000,52
1200,Random Removal,Destroy,9.7433,515.0000,36
1200,VehicleReductionAwareDestroy,Destroy,9.5971,460.0000,29
1200,ChargingAwareRouteBuilder,Repair,9.5677,625.0000,35
1200,Adaptive Insertion,Repair,9.0266,525.0000,36
1200,Greedy Energy Insertion (Enhanced),Repair,8.6406,480.0000,37
1200,Smart Station Repair,Repair,10.8203,890.0000,53
1200,Regret-3 Repair (Smart Packing),Repair,9.3815,605.0000,39
1400,EnergyCriticalRemoval,Destroy,11.8380,760.0000,47
1400,Route Merging Destroy,Destroy,10.2375,345.0000,24
1400,TimeSlackDestroy,Destroy,10.3482,715.0000,51
1400,Random Removal,Destroy,10.4276,620.0000,39
1400,VehicleReductionAwareDestroy,Destroy,10.5369,600.0000,39
1400,ChargingAwareRouteBuilder,Repair,10.8111,645.0000,40
1400,Adaptive Insertion,Repair,9.8601,420.0000,31
1400,Greedy Energy Insertion (Enhanced),Repair,9.2904,480.0000,38
1400,Smart Station Repair,Repair,11.7161,885.0000,52
1400,Regret-3 Repair (Smart Packing),Repair,10.3012,610.0000,39
1600,EnergyCriticalRemoval,Destroy,12.4878,570.0000,37
1600,Route Merging Destroy,Destroy,10.8581,655.0000,46
1600,TimeSlackDestroy,Destroy,10.8990,410.0000,31
1600,Random Removal,Destroy,11.2481,645.0000,44
1600,VehicleReductionAwareDestroy,Destroy,11.2640,535.0000,42
1600,ChargingAwareRouteBuilder,Repair,11.6082,540.0000,37
1600,Adaptive Insertion,Repair,10.4134,485.0000,40
1600,Greedy Energy Insertion (Enhanced),Repair,9.7916,500.0000,37
1600,Smart Station Repair,Repair,12.5116,740.0000,51
1600,Regret-3 Repair (Smart Packing),Repair,11.1022,550.0000,35
1800,EnergyCriticalRemoval,Destroy,12.9255,835.0000,50
1800,Route Merging Destroy,Destroy,11.3653,445.0000,30
1800,TimeSlackDestroy,Destroy,11.2480,630.0000,47
1800,Random Removal,Destroy,11.7597,510.0000,35
1800,VehicleReductionAwareDestroy,Destroy,11.4851,515.0000,38
1800,ChargingAwareRouteBuilder,Repair,12.0562,600.0000,33
1800,Adaptive Insertion,Repair,10.6701,510.0000,44
1800,Greedy Energy Insertion (Enhanced),Repair,10.3499,465.0000,36
1800,Smart Station Repair,Repair,12.8113,820.0000,50
1800,Regret-3 Repair (Smart Packing),Repair,11.7940,540.0000,37
2000,EnergyCriticalRemoval,Destroy,13.4916,720.0000,40
2000,Route Merging Destroy,Destroy,11.8855,545.0000,38
2000,TimeSlackDestroy,Destroy,11.5714,540.0000,37
2000,Random Removal,Destroy,12.1815,660.0000,44
2000,VehicleReductionAwareDestroy,Destroy,11.7953,515.0000,41
2000,ChargingAwareRouteBuilder,Repair,12.9750,680.0000,44
2000,Adaptive Insertion,Repair,10.8082,605.0000,44
2000,Greedy Energy Insertion (Enhanced),Repair,10.7349,440.0000,34
2000,Smart Station Repair,Repair,13.3496,720.0000,42
2000,Regret-3 Repair (Smart Packing),Repair,12.2141,535.0000,36
2200,EnergyCriticalRemoval,Destroy,14.1679,850.0000,42
2200,Route Merging Destroy,Destroy,12.2540,575.0000,40
2200,TimeSlackDestroy,Destroy,12.0249,680.0000,47
2200,Random Removal,Destroy,12.6043,605.0000,37
2200,VehicleReductionAwareDestroy,Destroy,11.9101,445.0000,34
2200,ChargingAwareRouteBuilder,Repair,13.3469,775.0000,43
2200,Adaptive Insertion,Repair,11.2495,430.0000,29
2200,Greedy Energy Insertion (Enhanced),Repair,11.0659,575.0000,40
2200,Smart Station Repair,Repair,13.9186,800.0000,50
2200,Regret-3 Repair (Smart Packing),Repair,12.6111,575.0000,38
2400,EnergyCriticalRemoval,Destroy,15.0784,1005.0000,52
2400,Route Merging Destroy,Destroy,12.5721,605.0000,47
