Iteration,Timestamp_ms,ArchiveSize,BestDistance,BestVehicles,BestMaxTime,BestWorkloadGini
200,6852,2,1725.7209,20,228.5136,0.1163
400,19210,5,1693.1290,19,228.5136,0.0735
600,34876,12,1678.0056,19,225.6218,0.0605
800,49413,10,1678.0056,19,225.6218,0.0605
1000,61027,11,1678.0056,19,225.6218,0.0605
1200,74979,13,1678.0056,19,225.6218,0.0605
1400,87482,14,1649.1633,19,225.6218,0.0605
1600,99156,16,1649.1633,19,225.6218,0.0605
1800,115252,18,1649.1633,19,225.6218,0.0605
2000,126223,19,1649.1633,19,225.6218,0.0576
2200,140478,20,1646.6336,19,225.6218,0.0576
2400,150147,23,1646.6336,19,225.6218,0.0497
2600,158420,23,1646.6336,19,225.6218,0.0497
2800,168766,11,1637.8933,18,228.5136,0.0738
3000,178150,11,1637.8933,18,228.5136,0.0635
3200,186877,14,1637.8933,18,228.5136,0.0635
3400,196807,14,1637.8933,18,228.5136,0.0635
3600,205798,14,1637.8933,18,228.5136,0.0635
3800,218955,14,1637.8933,18,228.5136,0.0635
4000,223796,6,1636.8193,18,228.5136,0.0635
4200,232551,9,1636.4541,18,228.5136,0.0635
4400,240745,8,1636.4541,18,228.5136,0.0630
4600,250165,8,1636.4541,18,228.5136,0.0630
4800,259105,8,1636.0267,18,228.5136,0.0630
5000,269313,11,1636.0267,18,228.5136,0.0577
5200,281077,7,1636.0267,18,228.5136,0.0577
5400,287535,7,1636.0267,18,228.5136,0.0577
5600,293052,7,1636.0267,18,228.5136,0.0577
5800,293520,9,1636.0267,18,228.5136,0.0550
6000,294046,9,1636.0267,18,228.5136,0.0550
6200,294648,9,1636.0267,18,228.5136,0.0550
6400,299882,6,1636.0267,18,228.5136,0.0554
6600,306157,7,1636.0267,18,228.5136,0.0554
6800,315100,7,1636.0267,18,228.5136,0.0554
7000,321811,8,1636.0267,18,228.5136,0.0492
7200,328881,10,1636.0267,18,228.5136,0.0492
7400,334938,10,1636.0267,18,228.5136,0.0492
7600,342914,10,1636.0267,18,228.5136,0.0492
7800,352365,9,1632.0145,18,228.5136,0.0492
8000,359769,11,1632.0145,18,228.5136,0.0464
8200,365938,11,1632.0145,18,228.5136,0.0464
8400,373014,12,1632.0145,18,228.5136,0.0464
8600,378829,12,1632.0145,18,228.5136,0.0464
8800,390438,12,1632.0145,18,228.5136,0.0464
9000,394915,12,1632.0145,18,228.5136,0.0464
9200,402438,11,1632.0145,18,228.5136,0.0468
9400,408879,12,1632.0145,18,228.5136,0.0468
9600,414631,12,1632.0145,18,228.5136,0.0447
9800,425485,9,1632.0145,18,228.5136,0.0447
10000,433340,9,1632.0145,18,228.5136,0.0447
10200,438208,9,1632.0145,18,228.5136,0.0447
10400,445018,9,1632.0145,18,228.5136,0.0447
10600,451304,9,1632.0145,18,228.5136,0.0447
10800,463132,9,1632.0145,18,228.5136,0.0447
11000,467864,10,1629.2726,18,228.5136,0.0447
11200,474549,10,1629.2726,18,228.5136,0.0447
11400,479960,13,1629.2726,18,228.5136,0.0447
11600,482837,14,1629.2726,18,228.5136,0.0388
11800,492605,16,1629.2726,18,225.6218,0.0388
12000,499221,17,1629.2726,18,225.6218,0.0388
12200,504971,17,1629.2726,18,225.6218,0.0388
12400,511308,18,1629.2726,18,225.6218,0.0388
12600,517539,19,1629.2726,18,225.6218,0.0388
12800,526720,20,1629.2726,18,225.6218,0.0388
13000,532922,20,1629.2726,18,225.6218,0.0388
13200,539779,20,1629.2726,18,225.6218,0.0388
13400,544321,20,1629.2726,18,225.6218,0.0388
13600,550179,21,1629.2726,18,225.6218,0.0388
13800,556462,22,1629.2726,18,225.6218,0.0388
14000,567446,22,1629.2726,18,225.6218,0.0388
14200,575388,22,1629.2726,18,225.6218,0.0388
14400,579856,22,1629.2726,18,225.6218,0.0388
14600,585880,22,1629.2726,18,225.6218,0.0388
14800,593079,22,1629.2726,18,225.6218,0.0388
15000,602058,22,1629.2726,18,225.6218,0.0388
15200,606507,23,1629.2726,18,225.6218,0.0388
15400,611845,23,1629.2726,18,225.6218,0.0388
15600,618714,23,1629.2726,18,225.6218,0.0388
