SolutionID,TotalVehicles,TotalDistance,WorkloadGini,MaxTime,IsFeasible
1,4,338.7308,0.1825,220.6196,true
2,4,336.1536,0.1988,220.6196,true
3,4,344.1556,0.0393,211.7354,true
4,4,395.0669,0.0456,210.9033,true
5,4,346.8906,0.0577,199.5410,true
6,4,355.7429,0.0218,211.7354,true
7,4,395.4997,0.0338,199.5410,true
8,4,342.4599,0.1620,216.7645,true
9,4,349.4678,0.0541,199.5410,true
10,4,342.3825,0.1652,216.7645,true
11,4,348.6876,0.0382,225.8096,true
12,4,352.7164,0.0234,226.7518,true
13,4,367.0784,0.0161,226.7518,true
14,4,342.3759,0.1671,216.7645,true
15,4,350.9688,0.0371,211.7354,true
16,4,406.5089,0.0203,200.0893,true
17,4,412.0295,0.0158,200.0893,true
18,4,420.5189,0.0089,212.7385,true
19,4,409.2945,0.0123,211.7354,true
20,4,369.4632,0.0146,227.9203,true
21,4,391.6099,0.0495,200.0893,true
