Segment,OperatorName,Type,Weight,Score,UsageCount
200,EnergyCriticalRemoval,Destroy,2.5000,520.0000,31
200,Route Merging Destroy,Destroy,3.0000,575.0000,38
200,TimeSlackDestroy,Destroy,2.5000,530.0000,33
200,Random Removal,Destroy,2.0000,400.0000,27
200,VehicleReductionAwareDestroy,Destroy,3.5000,1065.0000,71
200,ChargingAwareRouteBuilder,Repair,2.0000,710.0000,42
200,Adaptive Insertion,Repair,2.0000,675.0000,42
200,Greedy Energy Insertion (Enhanced),Repair,1.5000,300.0000,21
200,Smart Station Repair,Repair,2.5000,705.0000,48
200,Regret-3 Repair (Smart Packing),Repair,2.5000,700.0000,47
400,EnergyCriticalRemoval,Destroy,4.6411,520.0000,35
400,Route Merging Destroy,Destroy,4.8197,745.0000,47
400,TimeSlackDestroy,Destroy,4.5341,720.0000,39
400,Random Removal,Destroy,3.9222,720.0000,35
400,VehicleReductionAwareDestroy,Destroy,5.2250,660.0000,44
400,ChargingAwareRouteBuilder,Repair,4.2357,705.0000,36
400,Adaptive Insertion,Repair,4.1107,685.0000,47
400,Greedy Energy Insertion (Enhanced),Repair,3.4179,490.0000,36
400,Smart Station Repair,Repair,4.3281,1025.0000,52
400,Regret-3 Repair (Smart Packing),Repair,4.3590,460.0000,29
600,EnergyCriticalRemoval,Destroy,6.1735,680.0000,38
600,Route Merging Destroy,Destroy,6.4744,585.0000,43
600,TimeSlackDestroy,Destroy,6.6232,605.0000,39
600,Random Removal,Destroy,6.4196,665.0000,42
600,VehicleReductionAwareDestroy,Destroy,6.6913,570.0000,38
600,ChargingAwareRouteBuilder,Repair,6.5379,880.0000,52
600,Adaptive Insertion,Repair,5.6803,365.0000,26
600,Greedy Energy Insertion (Enhanced),Repair,4.9468,505.0000,40
600,Smart Station Repair,Repair,6.6356,680.0000,40
600,Regret-3 Repair (Smart Packing),Repair,6.0845,675.0000,42
800,EnergyCriticalRemoval,Destroy,7.9317,900.0000,45
800,Route Merging Destroy,Destroy,7.5440,585.0000,43
800,TimeSlackDestroy,Destroy,7.9566,580.0000,36
800,Random Removal,Destroy,7.8317,660.0000,39
800,VehicleReductionAwareDestroy,Destroy,7.9376,555.0000,37
800,ChargingAwareRouteBuilder,Repair,8.0956,520.0000,34
800,Adaptive Insertion,Repair,6.9340,500.0000,34
800,Greedy Energy Insertion (Enhanced),Repair,6.0986,490.0000,35
800,Smart Station Repair,Repair,8.1903,980.0000,45
800,Regret-3 Repair (Smart Packing),Repair,7.5825,790.0000,52
1000,EnergyCriticalRemoval,Destroy,9.7420,700.0000,37
1000,Route Merging Destroy,Destroy,8.4531,575.0000,38
1000,TimeSlackDestroy,Destroy,9.1798,525.0000,36
1000,Random Removal,Destroy,9.1954,920.0000,48
1000,VehicleReductionAwareDestroy,Destroy,8.9969,615.0000,41
1000,ChargingAwareRouteBuilder,Repair,9.1754,585.0000,39
1000,Adaptive Insertion,Repair,8.0998,475.0000,32
1000,Greedy Energy Insertion (Enhanced),Repair,7.2838,410.0000,25
1000,Smart Station Repair,Repair,10.2284,1125.0000,53
1000,Regret-3 Repair (Smart Packing),Repair,8.7240,740.0000,51
1200,EnergyCriticalRemoval,Destroy,11.1185,575.0000,31
1200,Route Merging Destroy,Destroy,9.4548,420.0000,33
1200,TimeSlackDestroy,Destroy,9.9903,665.0000,45
1200,Random Removal,Destroy,10.6911,585.0000,42
1200,VehicleReductionAwareDestroy,Destroy,9.8974,735.0000,49
1200,ChargingAwareRouteBuilder,Repair,10.0491,600.0000,41
1200,Adaptive Insertion,Repair,9.1114,625.0000,45
1200,Greedy Energy Insertion (Enhanced),Repair,8.6512,350.0000,26
1200,Smart Station Repair,Repair,11.8781,840.0000,49
1200,Regret-3 Repair (Smart Packing),Repair,9.5919,565.0000,39
1400,EnergyCriticalRemoval,Destroy,12.2330,820.0000,50
1400,Route Merging Destroy,Destroy,9.9457,450.0000,36
1400,TimeSlackDestroy,Destroy,10.7085,620.0000,41
1400,Random Removal,Destroy,11.1767,415.0000,28
1400,VehicleReductionAwareDestroy,Destroy,10.6628,675.0000,45
1400,ChargingAwareRouteBuilder,Repair,10.7369,610.0000,36
1400,Adaptive Insertion,Repair,9.8280,505.0000,34
1400,Greedy Energy Insertion (Enhanced),Repair,9.3728,445.0000,36
1400,Smart Station Repair,Repair,12.6678,805.0000,53
1400,Regret-3 Repair (Smart Packing),Repair,10.3262,615.0000,41
1600,EnergyCriticalRemoval,Destroy,12.8580,750.0000,46
1600,Route Merging Destroy,Destroy,10.3289,655.0000,44
1600,TimeSlackDestroy,Destroy,11.3705,710.0000,46
1600,Random Removal,Destroy,11.7234,560.0000,37
1600,VehicleReductionAwareDestroy,Destroy,11.3134,405.0000,27
1600,ChargingAwareRouteBuilder,Repair,11.6680,810.0000,50
1600,Adaptive Insertion,Repair,10.5817,415.0000,31
1600,Greedy Energy Insertion (Enhanced),Repair,9.8210,440.0000,32
1600,Smart Station Repair,Repair,13.0460,690.0000,45
1600,Regret-3 Repair (Smart Packing),Repair,11.0272,725.0000,42
1800,EnergyCriticalRemoval,Destroy,13.3750,635.0000,39
1800,Route Merging Destroy,Destroy,11.0125,710.0000,46
1800,TimeSlackDestroy,Destroy,11.9801,690.0000,42
1800,Random Removal,Destroy,12.2352,490.0000,35
1800,VehicleReductionAwareDestroy,Destroy,11.8664,570.0000,38
1800,ChargingAwareRouteBuilder,Repair,12.3478,560.0000,36
1800,Adaptive Insertion,Repair,11.0025,515.0000,33
1800,Greedy Energy Insertion (Enhanced),Repair,10.4104,495.0000,30
1800,Smart Station Repair,Repair,13.3891,770.0000,50
1800,Regret-3 Repair (Smart Packing),Repair,11.9624,755.0000,51
2000,EnergyCriticalRemoval,Destroy,13.8110,715.0000,47
2000,Route Merging Destroy,Destroy,11.6758,570.0000,35
2000,TimeSlackDestroy,Destroy,12.6474,675.0000,43
2000,Random Removal,Destroy,12.4999,670.0000,39
2000,VehicleReductionAwareDestroy,Destroy,12.3364,540.0000,36
2000,ChargingAwareRouteBuilder,Repair,12.8290,740.0000,47
2000,Adaptive Insertion,Repair,11.6931,505.0000,34
2000,Greedy Energy Insertion (Enhanced),Repair,11.3238,455.0000,33
2000,Smart Station Repair,Repair,13.6907,935.0000,51
2000,Regret-3 Repair (Smart Packing),Repair,12.3887,535.0000,35
2200,EnergyCriticalRemoval,Destroy,14.0213,655.0000,43
2200,Route Merging Destroy,Destroy,12.3673,560.0000,41
2200,TimeSlackDestroy,Destroy,13.1049,670.0000,47
2200,Random Removal,Destroy,13.2018,690.0000,38
2200,VehicleReductionAwareDestroy,Destroy,12.7359,465.0000,31
2200,ChargingAwareRouteBuilder,Repair,13.2663,635.0000,40
2200,Adaptive Insertion,Repair,12.1671,425.0000,31
2200,Greedy Energy Insertion (Enhanced),Repair,11.6934,545.0000,39
2200,Smart Station Repair,Repair,14.3871,735.0000,46
2200,Regret-3 Repair (Smart Packing),Repair,12.8232,700.0000,44
2400,EnergyCriticalRemoval,Destroy,14.2030,720.0000,40
2400,Route Merging Destroy,Destroy,12.5610,775.0000,44
2400,TimeSlackDestroy,Destroy,13.2775,580.0000,36
2400,Random Removal,Destroy,13.9452,615.0000,43
2400,VehicleReductionAwareDestroy,Destroy,13.0756,555.0000,37
2400,ChargingAwareRouteBuilder,Repair,13.6576,610.0000,35
2400,Adaptive Insertion,Repair,12.3984,790.0000,48
2400,Greedy Energy Insertion (Enhanced),Repair,12.0356,490.0000,32
2400,Smart Station Repair,Repair,14.6258,740.0000,43
2400,Regret-3 Repair (Smart Packing),Repair,13.2861,615.0000,42
2600,EnergyCriticalRemoval,Destroy,14.7725,640.0000,37
2600,Route Merging Destroy,Destroy,13.3189,560.0000,40
2600,TimeSlackDestroy,Destroy,13.7025,615.0000,40
2600,Random Removal,Destroy,13.9988,660.0000,42
2600,VehicleReductionAwareDestroy,Destroy,13.3642,615.0000,41
2600,ChargingAwareRouteBuilder,Repair,14.2233,535.0000,39
2600,Adaptive Insertion,Repair,13.0074,570.0000,38
2600,Greedy Energy Insertion (Enhanced),Repair,12.5271,625.0000,40
2600,Smart Station Repair,Repair,15.0133,705.0000,39
2600,Regret-3 Repair (Smart Packing),Repair,13.4896,655.0000,44
2800,EnergyCriticalRemoval,Destroy,15.1513,680.0000,37
2800,Route Merging Destroy,Destroy,13.4211,575.0000,41
2800,TimeSlackDestroy,Destroy,13.9534,680.0000,47
2800,Random Removal,Destroy,14.2561,570.0000,35
2800,VehicleReductionAwareDestroy,Destroy,13.6096,600.0000,40
2800,ChargingAwareRouteBuilder,Repair,14.1475,495.0000,38
2800,Adaptive Insertion,Repair,13.3063,685.0000,43
2800,Greedy Energy Insertion (Enhanced),Repair,12.9918,455.0000,30
2800,Smart Station Repair,Repair,15.4728,740.0000,45
2800,Regret-3 Repair (Smart Packing),Repair,13.6991,730.0000,44
3000,EnergyCriticalRemoval,Destroy,15.6353,890.0000,46
3000,Route Merging Destroy,Destroy,13.5116,465.0000,34
3000,TimeSlackDestroy,Destroy,14.0306,525.0000,37
3000,Random Removal,Destroy,14.5606,735.0000,45
3000,VehicleReductionAwareDestroy,Destroy,13.8181,570.0000,38
3000,ChargingAwareRouteBuilder,Repair,13.9793,630.0000,35
3000,Adaptive Insertion,Repair,13.6999,745.0000,49
3000,Greedy Energy Insertion (Enhanced),Repair,13.3180,675.0000,44
3000,Smart Station Repair,Repair,15.6186,610.0000,37
3000,Regret-3 Repair (Smart Packing),Repair,14.1329,525.0000,35
3200,EnergyCriticalRemoval,Destroy,16.1922,670.0000,38
3200,Route Merging Destroy,Destroy,13.5363,610.0000,41
3200,TimeSlackDestroy,Destroy,14.0544,615.0000,39
3200,Random Removal,Destroy,14.8265,545.0000,38
3200,VehicleReductionAwareDestroy,Destroy,13.9954,660.0000,44
3200,ChargingAwareRouteBuilder,Repair,14.5824,715.0000,42
3200,Adaptive Insertion,Repair,13.9255,485.0000,34
3200,Greedy Energy Insertion (Enhanced),Repair,13.6215,480.0000,36
3200,Smart Station Repair,Repair,15.7488,770.0000,44
3200,Regret-3 Repair (Smart Packing),Repair,14.2630,650.0000,44
3400,EnergyCriticalRemoval,Destroy,16.4081,680.0000,43
3400,Route Merging Destroy,Destroy,13.7376,610.0000,40
3400,TimeSlackDestroy,Destroy,14.3116,520.0000,35
3400,Random Removal,Destroy,14.7538,700.0000,43
3400,VehicleReductionAwareDestroy,Destroy,14.1461,585.0000,39
3400,ChargingAwareRouteBuilder,Repair,14.9486,570.0000,34
3400,Adaptive Insertion,Repair,13.9764,655.0000,44
3400,Greedy Energy Insertion (Enhanced),Repair,13.5782,510.0000,33
3400,Smart Station Repair,Repair,16.0115,585.0000,36
3400,Regret-3 Repair (Smart Packing),Repair,14.3394,775.0000,53
3600,EnergyCriticalRemoval,Destroy,16.3190,755.0000,42
3600,Route Merging Destroy,Destroy,13.9644,480.0000,33
3600,TimeSlackDestroy,Destroy,14.3934,575.0000,38
3600,Random Removal,Destroy,14.9826,665.0000,42
3600,VehicleReductionAwareDestroy,Destroy,14.2742,675.0000,45
3600,ChargingAwareRouteBuilder,Repair,15.2210,740.0000,53
3600,Adaptive Insertion,Repair,14.1129,650.0000,41
3600,Greedy Energy Insertion (Enhanced),Repair,13.8597,560.0000,38
3600,Smart Station Repair,Repair,16.0472,910.0000,48
3600,Regret-3 Repair (Smart Packing),Repair,14.3819,290.0000,20
3800,EnergyCriticalRemoval,Destroy,16.5676,1070.0000,57
3800,Route Merging Destroy,Destroy,14.0516,570.0000,37
3800,TimeSlackDestroy,Destroy,14.5042,435.0000,32
3800,Random Removal,Destroy,15.1102,570.0000,39
3800,VehicleReductionAwareDestroy,Destroy,14.3831,525.0000,35
3800,ChargingAwareRouteBuilder,Repair,15.0322,585.0000,39
3800,Adaptive Insertion,Repair,14.3740,445.0000,29
3800,Greedy Energy Insertion (Enhanced),Repair,13.9913,780.0000,48
3800,Smart Station Repair,Repair,16.4839,700.0000,40
3800,Regret-3 Repair (Smart Packing),Repair,14.3996,660.0000,44
4000,EnergyCriticalRemoval,Destroy,16.8982,705.0000,42
4000,Route Merging Destroy,Destroy,14.2547,590.0000,40
4000,TimeSlackDestroy,Destroy,14.3676,630.0000,37
4000,Random Removal,Destroy,15.0360,445.0000,32
4000,VehicleReductionAwareDestroy,Destroy,14.4756,735.0000,49
4000,ChargingAwareRouteBuilder,Repair,15.0274,705.0000,42
4000,Adaptive Insertion,Repair,14.5196,460.0000,31
4000,Greedy Energy Insertion (Enhanced),Repair,14.3301,640.0000,44
4000,Smart Station Repair,Repair,16.6363,635.0000,41
4000,Regret-3 Repair (Smart Packing),Repair,14.4897,665.0000,42
4200,EnergyCriticalRemoval,Destroy,16.8813,780.0000,44
4200,Route Merging Destroy,Destroy,14.3290,555.0000,39
4200,TimeSlackDestroy,Destroy,14.7665,455.0000,30
4200,Random Removal,Destroy,14.8665,595.0000,33
4200,VehicleReductionAwareDestroy,Destroy,14.5543,810.0000,54
4200,ChargingAwareRouteBuilder,Repair,15.2911,645.0000,43
4200,Adaptive Insertion,Repair,14.5675,575.0000,34
4200,Greedy Energy Insertion (Enhanced),Repair,14.3624,640.0000,42
4200,Smart Station Repair,Repair,16.4640,640.0000,36
4200,Regret-3 Repair (Smart Packing),Repair,14.6912,695.0000,45
4400,EnergyCriticalRemoval,Destroy,17.0082,760.0000,48
4400,Route Merging Destroy,Destroy,14.3142,485.0000,33
4400,TimeSlackDestroy,Destroy,14.8265,560.0000,37
