Iteration,Timestamp_ms,ArchiveSize,BestDistance,BestVehicles,BestMaxTime,BestWorkloadGini
200,438,5,336.1536,4,202.1004,0.0403
400,977,7,336.1536,4,199.5410,0.0393
600,1438,7,336.1536,4,199.5410,0.0393
800,1832,7,336.1536,4,199.5410,0.0393
1000,2359,8,336.1536,4,199.5410,0.0258
1200,2775,9,336.1536,4,199.5410,0.0258
1400,3572,9,336.1536,4,199.5410,0.0258
1600,4821,10,336.1536,4,199.5410,0.0258
1800,5797,9,336.1536,4,199.5410,0.0258
2000,6857,9,336.1536,4,199.5410,0.0258
2200,7654,9,336.1536,4,199.5410,0.0258
2400,8510,9,336.1536,4,199.5410,0.0258
2600,9296,10,336.1536,4,199.5410,0.0258
2800,10293,10,336.1536,4,199.5410,0.0258
3000,11050,10,336.1536,4,199.5410,0.0258
3200,12054,10,336.1536,4,199.5410,0.0258
3400,12856,10,336.1536,4,199.5410,0.0258
3600,13583,10,336.1536,4,199.5410,0.0258
3800,14396,10,336.1536,4,199.5410,0.0258
4000,15178,6,336.1536,4,199.5410,0.0218
4200,15961,6,336.1536,4,199.5410,0.0218
4400,16362,6,336.1536,4,199.5410,0.0218
4600,17244,6,336.1536,4,199.5410,0.0218
4800,18085,6,336.1536,4,199.5410,0.0218
5000,18889,6,336.1536,4,199.5410,0.0218
5200,19567,7,336.1536,4,199.5410,0.0218
5400,20331,7,336.1536,4,199.5410,0.0218
5600,20733,8,336.1536,4,199.5410,0.0218
5800,20797,8,336.1536,4,199.5410,0.0218
6000,20863,8,336.1536,4,199.5410,0.0218
6200,20926,8,336.1536,4,199.5410,0.0218
6400,21334,9,336.1536,4,199.5410,0.0218
6600,22045,9,336.1536,4,199.5410,0.0218
6800,22575,10,336.1536,4,199.5410,0.0218
7000,23483,10,336.1536,4,199.5410,0.0218
7200,24088,10,336.1536,4,199.5410,0.0218
7400,24885,10,336.1536,4,199.5410,0.0218
7600,25606,10,336.1536,4,199.5410,0.0218
7800,26083,10,336.1536,4,199.5410,0.0218
8000,26766,10,336.1536,4,199.5410,0.0218
8200,27193,11,336.1536,4,199.5410,0.0218
8400,27627,11,336.1536,4,199.5410,0.0218
8600,28000,11,336.1536,4,199.5410,0.0218
8800,28648,11,336.1536,4,199.5410,0.0218
9000,29396,11,336.1536,4,199.5410,0.0218
9200,29917,11,336.1536,4,199.5410,0.0190
9400,30515,11,336.1536,4,199.5410,0.0190
9600,31098,11,336.1536,4,199.5410,0.0190
9800,31718,11,336.1536,4,199.5410,0.0190
10000,32196,12,336.1536,4,199.5410,0.0190
10200,32567,12,336.1536,4,199.5410,0.0190
10400,32911,13,336.1536,4,199.5410,0.0190
10600,33478,13,336.1536,4,199.5410,0.0190
10800,33790,13,336.1536,4,199.5410,0.0190
11000,34155,14,336.1536,4,199.5410,0.0161
11200,34379,14,336.1536,4,199.5410,0.0161
11400,34798,14,336.1536,4,199.5410,0.0161
11600,35338,14,336.1536,4,199.5410,0.0161
11800,35898,14,336.1536,4,199.5410,0.0161
12000,36364,14,336.1536,4,199.5410,0.0161
12200,36784,14,336.1536,4,199.5410,0.0161
12400,37141,15,336.1536,4,199.5410,0.0161
12600,37412,15,336.1536,4,199.5410,0.0161
12800,37775,15,336.1536,4,199.5410,0.0161
13000,38154,16,336.1536,4,199.5410,0.0161
13200,38376,18,336.1536,4,199.5410,0.0158
13400,38806,18,336.1536,4,199.5410,0.0158
13600,38986,19,336.1536,4,199.5410,0.0089
13800,39132,19,336.1536,4,199.5410,0.0089
14000,39326,19,336.1536,4,199.5410,0.0089
14200,39557,19,336.1536,4,199.5410,0.0089
14400,39878,19,336.1536,4,199.5410,0.0089
14600,40465,19,336.1536,4,199.5410,0.0089
14800,40860,19,336.1536,4,199.5410,0.0089
15000,41119,19,336.1536,4,199.5410,0.0089
15200,41273,19,336.1536,4,199.5410,0.0089
15400,41376,19,336.1536,4,199.5410,0.0089
15600,41533,19,336.1536,4,199.5410,0.0089
15800,42006,19,336.1536,4,199.5410,0.0089
16000,42197,19,336.1536,4,199.5410,0.0089
16200,42382,19,336.1536,4,199.5410,0.0089
16400,42572,19,336.1536,4,199.5410,0.0089
16600,42708,19,336.1536,4,199.5410,0.0089
16800,42823,20,336.1536,4,199.5410,0.0089
17000,42966,20,336.1536,4,199.5410,0.0089
17200,43194,20,336.1536,4,199.5410,0.0089
17400,43346,20,336.1536,4,199.5410,0.0089
17600,43591,21,336.1536,4,199.5410,0.0089
