SolutionID,TotalVehicles,TotalDistance,WorkloadGini,MaxTime,IsFeasible
1,16,1832.0461,0.0509,235.8793,true
2,16,1824.8294,0.0541,234.8674,true
3,16,1739.1980,0.0893,235.8793,true
4,16,1834.4073,0.0499,234.8674,true
5,16,1834.4073,0.0498,234.8674,true
6,16,1834.4073,0.0499,234.8674,true
7,16,1834.4073,0.0494,234.8674,true
8,16,1834.4073,0.0490,234.8674,true
9,16,1834.4073,0.0498,234.8674,true
10,16,1834.4073,0.0495,234.8674,true
11,16,1774.3308,0.0921,234.2188,true
12,16,1774.1933,0.0943,234.2188,true
13,16,1783.5858,0.0904,233.3809,true
14,16,1783.5858,0.0903,233.3809,true
15,16,1748.9245,0.0769,235.8793,true
16,16,1755.1449,0.0739,235.8793,true
17,16,1742.2939,0.0805,235.8793,true
18,16,1742.2939,0.0806,235.8793,true
19,16,1742.2939,0.0806,235.8793,true
20,16,1867.2793,0.0414,234.8674,true
21,16,1867.2793,0.0406,234.8674,true
22,16,1739.1980,0.0891,235.8793,true
23,16,1710.6561,0.1067,235.8793,true
24,16,1867.2793,0.0414,234.8674,true
25,16,1710.6561,0.1066,235.8793,true
26,16,1710.6561,0.1067,235.8793,true
27,16,1706.6133,0.1127,235.8793,true
28,16,1867.2793,0.0414,234.8674,true
29,16,1783.5858,0.0902,233.3809,true
30,16,1847.9459,0.0697,234.4198,true
31,16,1847.9459,0.0693,234.4198,true
32,16,1811.9550,0.0733,233.3809,true
33,16,1811.9550,0.0729,233.3809,true
34,16,1811.9550,0.0730,233.3809,true
35,16,1811.9550,0.0737,233.3809,true
36,16,1871.1887,0.0630,233.6402,true
37,16,1848.8020,0.0557,233.9758,true
38,16,1732.0034,0.0953,235.8793,true
39,16,1843.7879,0.0454,234.8674,true
40,16,1783.5858,0.0905,233.3809,true
41,16,1763.8102,0.0660,235.8793,true
42,16,1763.8102,0.0659,235.8793,true
43,16,1780.6236,0.0612,234.8674,true
44,16,1743.9904,0.0785,235.8793,true
45,16,1743.9904,0.0782,235.8793,true
46,16,1857.7688,0.0426,236.3685,true
47,16,1788.4738,0.0774,233.3809,true
48,16,1789.8292,0.0536,235.8793,true
49,16,1789.8292,0.0538,235.8793,true
50,16,1842.1260,0.0465,234.8674,true
51,16,1766.4115,0.0632,235.8793,true
