Segment,OperatorName,Type,Weight,Score,UsageCount
200,EnergyCriticalRemoval,Destroy,2.5000,820.0000,40
200,Route Merging Destroy,Destroy,3.0000,645.0000,41
200,TimeSlackDestroy,Destroy,2.5000,655.0000,40
200,Random Removal,Destroy,2.0000,515.0000,31
200,VehicleReductionAwareDestroy,Destroy,3.5000,840.0000,48
200,ChargingAwareRouteBuilder,Repair,2.0000,680.0000,37
200,Adaptive Insertion,Repair,2.0000,640.0000,39
200,Greedy Energy Insertion (Enhanced),Repair,1.5000,590.0000,28
200,Smart Station Repair,Repair,2.5000,940.0000,54
200,Regret-3 Repair (Smart Packing),Repair,2.5000,625.0000,42
400,EnergyCriticalRemoval,Destroy,5.2000,825.0000,41
400,Route Merging Destroy,Destroy,4.9098,600.0000,40
400,TimeSlackDestroy,Destroy,4.5812,590.0000,42
400,Random Removal,Destroy,4.1919,435.0000,29
400,VehicleReductionAwareDestroy,Destroy,5.6000,715.0000,48
400,ChargingAwareRouteBuilder,Repair,4.4568,890.0000,48
400,Adaptive Insertion,Repair,4.1615,520.0000,37
400,Greedy Energy Insertion (Enhanced),Repair,4.4357,500.0000,32
400,Smart Station Repair,Repair,4.7361,685.0000,45
400,Regret-3 Repair (Smart Packing),Repair,4.3571,570.0000,38
600,EnergyCriticalRemoval,Destroy,7.4383,730.0000,49
600,Route Merging Destroy,Destroy,6.4233,540.0000,36
600,TimeSlackDestroy,Destroy,6.0012,435.0000,29
600,Random Removal,Destroy,5.8131,545.0000,37
600,VehicleReductionAwareDestroy,Destroy,6.9944,705.0000,49
600,ChargingAwareRouteBuilder,Repair,6.5695,710.0000,46
600,Adaptive Insertion,Repair,5.6454,590.0000,40
600,Greedy Energy Insertion (Enhanced),Repair,6.1141,515.0000,37
600,Smart Station Repair,Repair,6.3090,650.0000,44
600,Regret-3 Repair (Smart Packing),Repair,5.9536,490.0000,33
800,EnergyCriticalRemoval,Destroy,8.5572,720.0000,48
800,Route Merging Destroy,Destroy,7.7098,455.0000,30
800,TimeSlackDestroy,Destroy,7.3510,405.0000,30
800,Random Removal,Destroy,7.1506,645.0000,45
800,VehicleReductionAwareDestroy,Destroy,8.1034,720.0000,47
800,ChargingAwareRouteBuilder,Repair,7.8993,690.0000,46
800,Adaptive Insertion,Repair,7.0111,455.0000,32
800,Greedy Energy Insertion (Enhanced),Repair,7.2848,550.0000,40
800,Smart Station Repair,Repair,7.5786,665.0000,43
800,Regret-3 Repair (Smart Packing),Repair,7.2878,585.0000,39
1000,EnergyCriticalRemoval,Destroy,9.5237,720.0000,47
1000,Route Merging Destroy,Destroy,8.8283,585.0000,39
1000,TimeSlackDestroy,Destroy,8.2734,585.0000,40
1000,Random Removal,Destroy,8.2280,535.0000,36
1000,VehicleReductionAwareDestroy,Destroy,9.1857,530.0000,38
1000,ChargingAwareRouteBuilder,Repair,8.9644,535.0000,34
1000,Adaptive Insertion,Repair,8.0923,590.0000,39
1000,Greedy Energy Insertion (Enhanced),Repair,8.2546,640.0000,48
1000,Smart Station Repair,Repair,8.7616,660.0000,43
1000,Regret-3 Repair (Smart Packing),Repair,8.4446,530.0000,36
1200,EnergyCriticalRemoval,Destroy,10.3930,790.0000,46
1200,Route Merging Destroy,Destroy,9.7541,765.0000,51
1200,TimeSlackDestroy,Destroy,9.2261,660.0000,43
1200,Random Removal,Destroy,9.2230,455.0000,30
1200,VehicleReductionAwareDestroy,Destroy,9.9000,450.0000,30
1200,ChargingAwareRouteBuilder,Repair,9.9800,970.0000,54
1200,Adaptive Insertion,Repair,9.1476,505.0000,37
1200,Greedy Energy Insertion (Enhanced),Repair,9.0164,445.0000,31
1200,Smart Station Repair,Repair,9.7497,665.0000,42
1200,Regret-3 Repair (Smart Packing),Repair,9.3863,535.0000,36
1400,EnergyCriticalRemoval,Destroy,11.4101,675.0000,50
1400,Route Merging Destroy,Destroy,10.5410,570.0000,39
1400,TimeSlackDestroy,Destroy,10.1445,575.0000,39
1400,Random Removal,Destroy,10.1145,525.0000,38
1400,VehicleReductionAwareDestroy,Destroy,10.6650,455.0000,34
1400,ChargingAwareRouteBuilder,Repair,11.1775,490.0000,38
1400,Adaptive Insertion,Repair,9.8228,550.0000,38
