Iteration,Timestamp_ms,ArchiveSize,BestDistance,BestVehicles,BestMaxTime,BestWorkloadGini
200,9176,8,1906.1830,17,237.2285,0.0670
400,21678,12,1846.9988,17,236.3685,0.0627
600,36835,18,1824.5024,17,236.3685,0.0627
800,48459,17,1824.5024,17,236.3685,0.0627
1000,65362,17,1824.5024,17,236.3685,0.0601
1200,77254,20,1816.0861,17,233.8674,0.0601
1400,88807,21,1816.0861,17,233.8674,0.0601
1600,102733,22,1816.0861,17,233.8674,0.0599
1800,116734,21,1816.0861,17,233.8674,0.0599
2000,128259,20,1816.0861,17,233.8674,0.0599
2200,145831,22,1816.0861,17,233.8674,0.0583
2400,155447,24,1816.0861,17,233.8674,0.0525
2600,165174,27,1816.0861,17,233.8674,0.0525
2800,175447,27,1816.0861,17,233.8674,0.0525
3000,185133,26,1816.0861,17,233.8674,0.0525
3200,196137,26,1816.0861,17,233.8674,0.0532
3400,208874,25,1816.0861,17,233.8674,0.0532
3600,220081,27,1792.5021,17,233.6402,0.0532
3800,229638,29,1792.5021,17,233.6402,0.0501
4000,241718,26,1792.5021,17,233.6402,0.0501
4200,250726,3,1746.3036,16,235.8793,0.0703
4400,258446,5,1746.3036,16,234.8674,0.0679
4600,266817,13,1740.3904,16,234.8674,0.0597
4800,281604,19,1740.3904,16,234.8674,0.0481
5000,287954,26,1740.3904,16,234.8674,0.0457
5200,302267,22,1739.1980,16,234.8674,0.0465
5400,314819,22,1739.1980,16,234.8674,0.0465
5600,318839,23,1739.1980,16,234.8674,0.0465
5800,319417,26,1739.1980,16,234.8674,0.0465
6000,320115,28,1739.1980,16,234.8674,0.0465
6200,320643,28,1739.1980,16,234.8674,0.0465
6400,325198,36,1739.1980,16,234.8674,0.0407
6600,334273,40,1739.1980,16,233.3809,0.0407
6800,342349,41,1739.1980,16,233.3809,0.0407
7000,350812,41,1739.1980,16,233.3809,0.0407
7200,358149,42,1739.1980,16,233.3809,0.0406
7400,364547,42,1739.1980,16,233.3809,0.0406
7600,371492,42,1739.1980,16,233.3809,0.0406
7800,383441,42,1739.1980,16,233.3809,0.0406
8000,392638,42,1739.1980,16,233.3809,0.0406
8200,400939,43,1739.1980,16,233.3809,0.0406
8400,407437,44,1739.1980,16,233.3809,0.0406
8600,418665,46,1710.6561,16,233.3809,0.0406
8800,426434,46,1710.6561,16,233.3809,0.0406
9000,438321,45,1710.6561,16,233.3809,0.0406
9200,446609,46,1710.6561,16,233.3809,0.0406
9400,452901,49,1706.6133,16,233.3809,0.0406
9600,462261,47,1706.6133,16,233.3809,0.0406
9800,471527,48,1706.6133,16,233.3809,0.0406
10000,477420,48,1706.6133,16,233.3809,0.0406
10200,487937,48,1706.6133,16,233.3809,0.0406
10400,497873,48,1706.6133,16,233.3809,0.0406
10600,504969,48,1706.6133,16,233.3809,0.0406
10800,516058,52,1706.6133,16,233.3809,0.0406
11000,525669,52,1706.6133,16,233.3809,0.0406
11200,532126,52,1706.6133,16,233.3809,0.0406
11400,539625,52,1706.6133,16,233.3809,0.0406
11600,545609,52,1706.6133,16,233.3809,0.0406
11800,554253,53,1706.6133,16,233.3809,0.0406
12000,563990,56,1706.6133,16,233.3809,0.0406
12200,572650,57,1706.6133,16,233.3809,0.0406
12400,579495,57,1706.6133,16,233.3809,0.0406
12600,585583,59,1706.6133,16,233.3809,0.0406
12800,594930,59,1706.6133,16,233.3809,0.0406
13000,606296,61,1706.6133,16,233.3809,0.0406
13200,614526,61,1706.6133,16,233.3809,0.0406
13400,621547,61,1706.6133,16,233.3809,0.0406
13600,634455,60,1706.6133,16,233.3809,0.0406
13800,644806,61,1706.6133,16,233.3809,0.0406
14000,650448,55,1706.6133,16,233.3809,0.0406
14200,657316,55,1706.6133,16,233.3809,0.0406
14400,668522,55,1706.6133,16,233.3809,0.0406
14600,676105,55,1706.6133,16,233.3809,0.0406
14800,682916,54,1706.6133,16,233.3809,0.0406
15000,689485,51,1706.6133,16,233.3809,0.0406
15200,695291,51,1706.6133,16,233.3809,0.0406
15400,703030,51,1706.6133,16,233.3809,0.0406
15600,710178,51,1706.6133,16,233.3809,0.0406
