Segment,OperatorName,Type,Weight,Score,UsageCount
100,Unified Cost Destroy,Destroy,4.0000,0.0000,39
100,Shaw Removal (Related),Destroy,2.0000,0.0000,24
100,Inefficient Route Removal,Destroy,2.0000,95.0000,19
100,Route Merging Destroy,Destroy,1.5000,90.0000,18
100,Adaptive Insertion,Repair,2.0000,50.0000,35
100,Regret-3 Repair,Repair,1.0000,50.0000,15
100,Smart Station Repair,Repair,1.5000,55.0000,31
100,Greedy Energy Insertion (Enhanced),Repair,1.0000,30.0000,19
200,Unified Cost Destroy,Destroy,3.2000,0.0000,37
200,Shaw Removal (Related),Destroy,1.6000,0.0000,11
200,Inefficient Route Removal,Destroy,2.6000,110.0000,22
200,Route Merging Destroy,Destroy,2.2000,150.0000,30
200,Adaptive Insertion,Repair,1.8857,90.0000,28
200,Regret-3 Repair,Repair,1.4667,60.0000,27
200,Smart Station Repair,Repair,1.5548,60.0000,29
200,Greedy Energy Insertion (Enhanced),Repair,1.1158,50.0000,16
300,Unified Cost Destroy,Destroy,2.5600,0.0000,28
300,Shaw Removal (Related),Destroy,1.2800,0.0000,16
300,Inefficient Route Removal,Destroy,3.0800,165.0000,33
300,Route Merging Destroy,Destroy,2.7600,115.0000,23
300,Adaptive Insertion,Repair,2.1514,65.0000,25
300,Regret-3 Repair,Repair,1.6178,60.0000,19
300,Smart Station Repair,Repair,1.6577,100.0000,36
300,Greedy Energy Insertion (Enhanced),Repair,1.5176,55.0000,20
400,Unified Cost Destroy,Destroy,2.0480,0.0000,22
400,Shaw Removal (Related),Destroy,1.0240,0.0000,13
400,Inefficient Route Removal,Destroy,3.4640,195.0000,39
400,Route Merging Destroy,Destroy,3.2080,130.0000,26
400,Adaptive Insertion,Repair,2.2411,95.0000,28
400,Regret-3 Repair,Repair,1.9258,75.0000,27
400,Smart Station Repair,Repair,1.8817,70.0000,20
400,Greedy Energy Insertion (Enhanced),Repair,1.7641,85.0000,25
500,Unified Cost Destroy,Destroy,1.6384,0.0000,17
500,Shaw Removal (Related),Destroy,0.8192,0.0000,6
500,Inefficient Route Removal,Destroy,3.7712,215.0000,43
500,Route Merging Destroy,Destroy,3.5664,170.0000,34
500,Adaptive Insertion,Repair,2.4715,115.0000,26
500,Regret-3 Repair,Repair,2.0962,90.0000,24
500,Smart Station Repair,Repair,2.2053,85.0000,22
500,Greedy Energy Insertion (Enhanced),Repair,2.0913,95.0000,28
600,Unified Cost Destroy,Destroy,1.3107,0.0000,5
600,Shaw Removal (Related),Destroy,0.6554,0.0000,2
600,Inefficient Route Removal,Destroy,4.0170,235.0000,47
600,Route Merging Destroy,Destroy,3.8531,230.0000,46
600,Adaptive Insertion,Repair,2.8618,125.0000,28
600,Regret-3 Repair,Repair,2.4270,155.0000,31
600,Smart Station Repair,Repair,2.5370,55.0000,13
600,Greedy Energy Insertion (Enhanced),Repair,2.3516,130.0000,28
700,Unified Cost Destroy,Destroy,1.0486,0.0000,12
700,Shaw Removal (Related),Destroy,0.5243,0.0000,7
700,Inefficient Route Removal,Destroy,4.2136,265.0000,53
700,Route Merging Destroy,Destroy,4.0825,140.0000,28
700,Adaptive Insertion,Repair,3.1823,140.0000,32
700,Regret-3 Repair,Repair,2.9416,70.0000,19
700,Smart Station Repair,Repair,2.8758,85.0000,21
700,Greedy Energy Insertion (Enhanced),Repair,2.8099,110.0000,28
800,Unified Cost Destroy,Destroy,0.8389,0.0000,9
800,Shaw Removal (Related),Destroy,0.4194,0.0000,4
800,Inefficient Route Removal,Destroy,4.3709,205.0000,41
800,Route Merging Destroy,Destroy,4.2660,230.0000,46
800,Adaptive Insertion,Repair,3.4208,140.0000,30
800,Regret-3 Repair,Repair,3.0901,95.0000,21
800,Smart Station Repair,Repair,3.1101,85.0000,21
800,Greedy Energy Insertion (Enhanced),Repair,3.0336,115.0000,28
900,Unified Cost Destroy,Destroy,0.6711,0.0000,8
900,Shaw Removal (Related),Destroy,0.3355,0.0000,4
900,Inefficient Route Removal,Destroy,4.4967,220.0000,44
900,Route Merging Destroy,Destroy,4.4128,220.0000,44
900,Adaptive Insertion,Repair,3.6700,110.0000,25
900,Regret-3 Repair,Repair,3.3768,110.0000,23
900,Smart Station Repair,Repair,3.2976,130.0000,31
900,Greedy Energy Insertion (Enhanced),Repair,3.2483,90.0000,21
1000,Unified Cost Destroy,Destroy,0.5369,0.0000,7
1000,Shaw Removal (Related),Destroy,0.2684,0.0000,3
1000,Inefficient Route Removal,Destroy,4.5973,205.0000,41
1000,Route Merging Destroy,Destroy,4.5302,245.0000,49
1000,Adaptive Insertion,Repair,3.8160,145.0000,30
1000,Regret-3 Repair,Repair,3.6580,140.0000,29
1000,Smart Station Repair,Repair,3.4768,75.0000,18
1000,Greedy Energy Insertion (Enhanced),Repair,3.4558,90.0000,23
