Iteration,Timestamp_ms,ArchiveSize,BestDistance,BestVehicles,BestMaxTime,BestWorkloadVar
100,458,1,3304.4176,30,228.0530,8087.3507
200,784,1,3304.4176,30,228.0530,8087.3507
300,1148,1,3304.4176,30,228.0530,8087.3507
400,1362,1,3304.4176,30,228.0530,8087.3507
500,1572,1,3304.4176,30,228.0530,8087.3507
600,1750,1,3304.4176,30,228.0530,8087.3507
700,1921,1,3304.4176,30,228.0530,8087.3507
800,2078,1,3304.4176,30,228.0530,8087.3507
900,2277,1,3304.4176,30,228.0530,8087.3507
1000,2445,1,3304.4176,30,228.0530,8087.3507
