avg_hypervolume,maxIterations,coolingRate,decayParameter,localSearchIntensity,regretK
1020632464575318.7500,700,0.9900,0.8000,30,2
1020630946579599.7500,700,0.9950,0.8000,40,2
1020489271768462.7500,2000,0.9950,0.8000,40,2
1020428546307179.7500,700,0.9900,0.6000,40,2
1020426411251643.0000,700,0.9950,0.6000,40,3
1020426411251643.0000,700,0.9950,0.8000,30,2
1020426411251643.0000,700,0.9900,0.6000,30,2
1020426411251643.0000,2000,0.9950,0.6000,20,2
1020426411251643.0000,2000,0.9950,0.8000,30,3
1020426411251643.0000,2000,0.9900,0.8000,30,2
1020426411251643.0000,2000,0.9950,0.6000,30,3
1019597353585064.0000,700,0.9950,0.6000,40,2
1019471769187616.2500,2000,0.9900,0.8000,40,2
1019463829358620.0000,2000,0.9950,0.6000,40,2
1019463829358620.0000,2000,0.9950,0.8000,30,2
1019463829358620.0000,700,0.9900,0.6000,30,3
1019462504327944.2500,700,0.9950,0.6000,20,2
1019441971895413.0000,2000,0.9900,0.6000,30,3
1019441971895413.0000,2000,0.9900,0.6000,20,3
1019439836839876.2500,700,0.9900,0.8000,30,3
1019439836839876.2500,700,0.9950,0.8000,20,3
1019439836839876.2500,2000,0.9900,0.6000,40,2
1019438318844157.3750,700,0.9900,0.6000,40,3
1019415292780132.0000,2000,0.9900,0.8000,20,2
1019415292780132.0000,700,0.9950,0.6000,30,3
1019405869934952.3750,700,0.9950,0.8000,40,3
1019314252442428.3750,2000,0.9950,0.6000,40,3
1019314252442428.3750,2000,0.9900,0.6000,20,2
1019314252442428.3750,700,0.9950,0.8000,30,3
1019314252442428.3750,700,0.9950,0.6000,20,3
1019281768553687.7500,700,0.9900,0.8000,40,3
1019281768553687.7500,700,0.9900,0.6000,20,3
1019281768553687.7500,2000,0.9900,0.6000,40,3
1019281768553687.7500,2000,0.9950,0.6000,30,2
1019280443523012.0000,700,0.9950,0.8000,20,2
1019264160144279.7500,2000,0.9950,0.8000,40,3
1019257776034944.2500,700,0.9900,0.6000,20,2
1019257776034944.2500,700,0.9900,0.8000,40,2
1019257776034944.2500,700,0.9900,0.8000,20,2
1019257776034944.2500,700,0.9900,0.8000,20,3
1019257776034944.2500,700,0.9950,0.6000,30,2
1019257776034944.2500,2000,0.9900,0.6000,30,2
1019257776034944.2500,2000,0.9900,0.8000,20,3
1019257776034944.2500,2000,0.9900,0.8000,30,3
1019257776034944.2500,2000,0.9950,0.6000,20,3
1019257776034944.2500,2000,0.9900,0.8000,40,3
1019257776034944.2500,2000,0.9950,0.8000,20,3
1019257776034944.2500,2000,0.9950,0.8000,20,2
